test,observed_effect,alpha,power,interpretation
Overall_model,0.0626417675894505,0.05,0.49577768288474744,Inadequate
Education_z_individual,0.0513650309990475,0.0167,0.1607690449524311,Inadequate
VR_Experience_z_individual,0.0469393477534417,0.0167,0.04375011920183868,Inadequate
Typical_Sleep_z_individual,0.0795639668419242,0.0167,0.0935757322476081,Inadequate
