model,R2,adj_R2,F_stat,F_p,AIC,BIC,N
Control,0.03736010817619284,0.027537252137174506,3.8033854947879404,0.054006196719543736,204.93603487594098,210.14637524791715,100
Full,0.0626417675894505,0.023174052540585355,1.5871647880272088,0.1840373235398833,208.27464786517885,221.30049879511932,100
