fold,train_r2,test_r2,n_train,n_test
1,0.3779414188859537,-0.0808955264871325,90,10
2,0.4033299802066185,-0.8734508462231847,90,10
3,0.33893349966536324,0.30430419890039195,90,10
4,0.28261716039263995,0.7376861279395608,90,10
5,0.36215297722848316,0.07539320126578997,90,10
6,0.3827351861391801,-0.011742922562555824,90,10
7,0.33502801726285625,0.48877271596349514,90,10
8,0.3446283433501437,0.2626526281864052,90,10
9,0.3444075685307254,0.34973662978577436,90,10
10,0.4051664055247165,-0.6377370429421378,90,10
