block,R2,adj_R2,F,df1,df2,p
Block1,0.29549773638669474,0.2500459774439009,6.501348754370794,6.0,93.0,9.387121158918258e-06
Block2,0.351523132303714,0.2866754455340853,5.420750528118296,9.0,90.0,6.354692398699766e-06
Delta,0.05602539591701927,,2.5918609610262346,3.0,90.0,0.05758865434890159
