predictor,sr2,rank,percent_of_r2
Typical_Sleep_z,0.005933875819329512,1,9.47271452845918
Education_z,0.002473094474091325,2,3.947995992545745
VR_Experience_z,0.00206528361268315,3,3.296975312412743
