cluster,feature,mean,SD,min,max
0,Common_Intercept,0.11685778311258502,0.12062032954690627,-0.1212537661838603,0.3571826677527509
0,Common_Slope,0.06784587945324663,0.0314596832367996,0.0208452916459075,0.1155016571535185
0,Congruent_Intercept,0.0032177008063474432,0.06530370208988043,-0.1092781587934899,0.1598814142515411
0,Congruent_Slope,0.001131834902748036,0.026364880607568378,-0.0442326175924863,0.0641926888365355
0,Incongruent_Intercept,0.031788100805748044,0.1501542270578663,-0.2307763678004717,0.3065818249107453
0,Incongruent_Slope,0.008531312614447586,0.028825886682340873,-0.0377649021102016,0.0785601622104788
1,Common_Intercept,-0.04188675581651382,0.15708297295699564,-0.3304536697090363,0.2795502929279911
1,Common_Slope,-0.04243646185505853,0.053527893690677016,-0.1706389343350881,0.0253907613236597
1,Congruent_Intercept,0.015240699098432193,0.06931081292971257,-0.0983892226612075,0.1793016495599642
1,Congruent_Slope,0.0061059891200855474,0.028204518716854237,-0.0406820906824051,0.0725833867620452
1,Incongruent_Intercept,-0.0756331747422961,0.10084261547614055,-0.2633964229838059,0.0767044053519181
1,Incongruent_Slope,-0.022710178589079692,0.018411835986807516,-0.05623199373489,0.0106784510558907
2,Common_Intercept,0.35208127921711846,0.2048420645892717,-0.0409926844133549,0.8098732096548734
2,Common_Slope,0.12397889693033565,0.05564306651329788,0.0462406623885528,0.2691268471513042
2,Congruent_Intercept,0.19431466899223357,0.05227419160638831,0.1165301169782431,0.292675892879743
2,Congruent_Slope,0.07905820306058658,0.021134999905230916,0.0473455975342979,0.1192355061303319
2,Incongruent_Intercept,0.3718769738002566,0.20222960953433228,0.1399271338963622,0.8360518957796209
2,Incongruent_Slope,0.0748569223734159,0.035679660320929764,0.0238177876124836,0.1569232909609705
3,Common_Intercept,-0.3220878951226083,0.16644398665721574,-0.5376941001123752,0.0408787297318916
3,Common_Slope,-0.054418671578158606,0.03345482923822773,-0.1039441990683911,0.0289432731497999
3,Congruent_Intercept,-0.1742105859088972,0.050157977950074484,-0.2900288834074179,-0.0889049486186775
3,Congruent_Slope,-0.07081615010197038,0.020344896528696477,-0.1181361742395459,-0.0366563610797836
3,Incongruent_Intercept,-0.2880045582252039,0.1350526372905494,-0.509312777501577,-0.0727406973365909
3,Incongruent_Slope,-0.04619310670328591,0.020985489457947478,-0.0795664938584269,-0.0092420119702283
4,Common_Intercept,-0.44812762136224643,0.17399453955695923,-0.7041517734483485,-0.0754332785686509
4,Common_Slope,-0.10292776256563017,0.06823805785189191,-0.1962092319935043,0.0004241737202696
4,Congruent_Intercept,-0.2953347496239227,0.06749110743165815,-0.3868985648179432,-0.1578345849652951
4,Congruent_Slope,-0.11986078749997034,0.02765186908198491,-0.1566761351865505,-0.0635922090968753
4,Incongruent_Intercept,-0.5087970259360278,0.10335514692471415,-0.7440686013443288,-0.3976198836590315
4,Incongruent_Slope,-0.08788161781185191,0.01757256089613935,-0.1307958788717845,-0.0644647751797433
5,Common_Intercept,0.15845721462508966,0.1496426974149953,-0.2088254194373275,0.4012768948699994
5,Common_Slope,-1.3154303276619941e-05,0.04071160870447035,-0.0696337474824076,0.0774375805472662
5,Congruent_Intercept,0.11146841965455176,0.07025766892337373,-0.0007627810143653,0.2395917790018556
5,Congruent_Slope,0.04535178145208958,0.028594770902457756,0.0002714385532824,0.0971022699729878
5,Incongruent_Intercept,0.22474730074862176,0.11466773094880806,0.0730783686647679,0.4855350859044192
5,Incongruent_Slope,0.03579954736686412,0.02119154883561183,-0.0070496212588874,0.0733832281104435
