cluster,Common_Intercept,Common_Slope,Congruent_Intercept,Congruent_Slope,Incongruent_Intercept,Incongruent_Slope,N,label
0,0.1174464910355073,0.06818767446003085,0.003233910988569191,0.00113753687789201,0.031948243385048765,0.008574291791317773,14,Medium
1,-0.042097773554125154,-0.04265024891013891,0.015317478924911282,0.006136749965247298,-0.07601420070411528,-0.022824588273315172,19,Medium
2,0.35385499965804146,0.12460347970911156,0.19529359039677133,0.0794564836823311,0.37375042129341723,0.07523403771920639,15,High
3,-0.3237105144354645,-0.0546928227922211,-0.17508822665690532,-0.07117290878355276,-0.28945547198335325,-0.046425819041106126,16,Low
4,-0.4503852055312195,-0.10344629361847983,-0.29682259153215357,-0.12046462400421885,-0.5113602513571299,-0.08832434916706873,11,Low
5,0.1592554927988602,-1.32205722263854e-05,0.11202997696000767,0.045580255348721364,0.22587953612980008,0.03597989887286182,25,High
