UID,cluster,data_type,Common_Intercept_z,Common_Slope_z,Congruent_Intercept_z,Congruent_Slope_z,Incongruent_Intercept_z,Incongruent_Slope_z,cluster_label
A010,5,participant,0.6365864268832603,-0.5023664383369142,1.3338099228435902,1.3405425974531515,0.8984605928662903,0.7980965313797173,High
A011,1,participant,0.0963336066381813,-0.4649164958356925,-0.2322530549743368,-0.2279164836272008,-0.0290935717464151,-0.1129408682530066,Medium
A012,0,participant,0.2998830617332622,1.3765266205268751,-0.228592508985349,-0.2497465789880414,0.4079119939002333,0.5063043361859422,Medium
A013,1,participant,-1.0980427658372869,0.3026022287369161,-0.1302531006610137,-0.1318974576219081,-0.4171593540351356,-0.2172681673406926,Medium
A014,0,participant,0.5347831800503942,0.2484301920023505,-0.0890126580698693,-0.0879669355011174,0.0811966960906164,-0.0733417982202274,Medium
A015,2,participant,1.6846275332812888,0.6255711256519143,1.707651739029017,1.70024637271802,1.8046543224025415,1.7327825979193068,High
A016,5,participant,0.7900018614003649,-0.4107337592699519,0.1986135754269441,0.1973339921177035,1.235496488073349,0.9664539441599762,High
A017,0,participant,0.2986984919402793,1.2048812242424507,-0.6639986257079602,-0.6613989181643992,1.001054359158066,1.4314315020584092,Medium
A018,5,participant,0.2397586074851239,0.0401024804366367,0.6281972789278032,0.6347691284096207,0.6749346111253198,0.694942417306915,High
A019,3,participant,-1.3289382397394067,-0.1523249662605732,-1.7622806068874102,-1.7664597324529576,-0.8180790174621678,-0.4694848849189492,Low
A020,4,participant,-0.2506522802685976,-1.18730665078675,-1.7636001713453155,-1.7580644563547754,-1.2983128335823575,-1.5358088310569882,Low
A021,2,participant,0.9411690338124614,1.4255831028811206,1.174890590926539,1.1856895893565251,0.6347975314111096,0.7756312832203993,High
A022,2,participant,-0.1362118950349923,1.2564608605182157,1.3005582224782974,1.298404842631126,0.9845123992119614,1.1340011020017875,High
A023,0,participant,0.3952723220439219,1.0027306468707184,-0.0128492416192492,-0.0135214545180517,0.116080662683904,0.0416617849384583,Medium
A024,1,participant,-0.00472235178919,-0.2000577873486375,0.0090221984185048,0.0055337741898269,-0.860044908047898,-0.9510619622138152,Medium
A025,5,participant,1.0438869360308265,-0.3038584333307437,1.108418360994872,1.1050212738441956,0.2386162961008831,-0.1284499632334083,High
A026,5,participant,-0.0569659948847181,0.4311628538063775,1.0937838239498685,1.0934684504475374,0.3453771903521988,0.1836443082889784,High
A027,1,participant,-0.1146412658889707,-0.0323534319609186,-0.1888110988192904,-0.1888648358978115,0.2504560711207987,0.1331180572800061,Medium
