K,inertia,BIC
1,600.0,183.7811171087936
2,264.32368544722544,106.4107651093689
3,183.8330628095068,74.70129980447835
4,154.7457241984646,62.08199022529229
5,137.16056417958504,54.624056419288564
6,122.43381626562737,47.87106337720079
