UID,cluster
A010,5
A011,1
A012,0
A013,1
A014,0
A015,2
A016,5
A017,0
A018,5
A019,3
A020,4
A021,2
A022,2
A023,0
A024,1
A025,5
A026,5
A027,1
A028,5
A029,2
A030,2
A031,1
A032,2
A033,0
A034,5
A035,1
A036,1
A037,5
A038,0
A039,2
A040,4
A041,5
A042,4
A043,0
A044,3
A045,3
A046,4
A047,4
A048,5
A049,2
A050,3
A051,1
A052,0
A053,5
A054,2
A055,3
A056,1
A057,3
A058,1
A059,2
A060,0
A061,5
A062,1
A063,5
A064,5
A065,4
A066,3
A067,4
A068,5
A069,4
A070,3
A071,0
A072,0
A073,2
A074,1
A075,1
A076,4
A077,5
A078,3
A079,1
A080,0
A081,5
A082,5
A083,5
A084,1
A085,0
A086,1
A087,2
A088,2
A089,5
A090,3
A091,3
A092,3
A093,5
A094,3
A095,5
A096,4
A097,0
A098,5
A099,2
A100,5
A101,3
A102,5
A103,1
A104,1
A105,1
A106,2
A107,4
A108,3
A109,3
