UID,Common_Intercept,Common_Slope,Congruent_Intercept,Congruent_Slope,Incongruent_Intercept,Incongruent_Slope
A010,0.191579351365363,-0.0421525855446337,0.2195129431080453,0.0896519580711554,0.2751615690510572,0.0438013225743934
A011,0.0289913970751583,-0.0390102340966541,-0.0382232511320252,-0.01524245411723,-0.0089101658043063,-0.0061984474404783
A012,0.0902491790998446,0.1155016571535185,-0.0376208135510302,-0.0167023933968155,0.1249266858975317,0.0277871143127952
A013,-0.3304536697090363,0.0253907613236597,-0.0214365187912819,-0.00882095456189,-0.1277587724070162,-0.0119241629410274
A014,0.160941877533856,0.0208452916459075,-0.0146493366199571,-0.0058829969507707,0.024867212291139,-0.0040251619142859
A015,0.5069851264319307,0.0524904499504209,0.2810382893528564,0.1137079991394136,0.5526914801715586,0.0950989843190429
A016,0.2377494049402126,-0.0344638666169898,0.0326870041499179,0.0131971776361009,0.3783818176496674,0.0530411539168886
A017,0.0898926853026115,0.1010992275760686,-0.1092781587934899,-0.0442326175924863,0.3065818249107453,0.0785601622104788
A018,0.0721548505693887,0.0033649207195318,0.1033861206069948,0.0424516873937171,0.2067047437346416,0.0381399940912738
A019,-0.399941178797065,-0.0127812900721208,-0.2900288834074179,-0.1181361742395459,-0.2505439947394495,-0.0257663804810566
A020,-0.0754332785686509,-0.0996245794816333,-0.2902460518905838,-0.1175747202863631,-0.3976198836590315,-0.084288623464436
A021,0.2832428487452222,0.1196178906658562,0.1933586540534979,0.0792957967559934,0.1944124051290525,0.0425683795121813
A022,-0.0409926844133549,0.1054271740003421,0.2140405152264393,0.0868338960150193,0.3015157021557901,0.0622365166562374
A023,0.1189563771263731,0.0841371679015243,-0.0021146752593674,-0.000904279264096,0.0355507381560996,0.002286491933447
A024,-0.0014211818764681,-0.0167864577558185,0.0014848362530847,0.0003700842424428,-0.2633964229838059,-0.0521964075237274
A025,0.3141555861985671,-0.0254961669948233,0.1824189282519787,0.0739009122862853,0.0730783686647679,-0.0070496212588874
A026,-0.0171437968027839,0.036178031993755,0.1800104364251046,0.0731282898864239,0.1057748446245782,0.0100788103569487
A027,-0.0345010487676338,-0.0027147132139439,-0.0310737529264381,-0.0126307827749718,0.0767044053519181,0.0073058167002879
A028,0.1034167532306997,-0.0696337474824076,0.0346026542791795,0.014752835952183,0.2047306508598196,0.0210834021131591
A029,0.5358704112810339,0.0889022089931496,0.2278576848247869,0.0932602036461461,0.5442826837182919,0.0832187031923703
A030,0.1590173087703892,0.088185597187066,0.1460816796487316,0.0591980281380663,0.2322432185622947,0.0534324620108454
A031,0.2321351786054363,-0.0456520688073972,-0.0872481940317546,-0.0349415109472769,-0.1303936167177149,-0.0473670572383861
A032,0.2825595358899305,0.1612740947204005,0.2284963358771276,0.0929737756239076,0.1449267715121064,0.0415390089868306
A033,-0.1212537661838603,0.0814420845431561,0.0614916854756321,0.0243261423096793,0.1283127999886742,0.0271263449646577
A034,0.3165772848658938,0.0092973838788544,0.1450494919757838,0.0591823089891315,0.4585868253879405,0.0721022317977842
A035,-0.1667967007781184,0.0107430934301767,-0.0559022471297896,-0.0233823091149301,-0.1120974843192042,-0.0206983929715979
A036,-0.1021602725948188,-0.0642384723237664,-0.0088793405287402,-0.0035279475816592,-0.1092240415879327,-0.0264227599312217
A037,0.4012768948699994,0.0293941025024691,0.0485754869247837,0.0195231922131908,0.1695556412427739,0.0212695157312235
A038,0.3571826677527509,0.1012080031121787,-0.0142853084741271,-0.0054189881995536,0.2294031380903025,0.0286099740261739
A039,0.5466263285598717,0.0462406623885528,0.2165113759248041,0.0874168080823284,0.5542902535410952,0.110904872956904
A040,-0.5872045274641069,-0.0258858883494865,-0.2483812458497687,-0.1004433297878638,-0.4081594155757486,-0.0824506097870861
A041,0.0070903626149831,-0.0109160663740908,0.1194857984656733,0.0491810351342309,0.228208380805692,0.0501974781654513
A042,-0.4136437399742813,-0.0556553101386386,-0.294628138492486,-0.1195425554246829,-0.4270095832808852,-0.0644647751797433
A043,0.1611239348598715,0.0252637232669154,0.0096446463084241,0.0040489220219638,-0.0714480429615331,-0.0121137478453916
A044,-0.1983967597512725,-0.0574993231751775,-0.1641459097423963,-0.0672470856537723,-0.509312777501577,-0.0795664938584269
A045,-0.2041512211256271,0.0289432731497999,-0.1713707477510556,-0.0689895420611985,-0.4379209687546209,-0.0598548613055588
A046,-0.7041517734483485,-0.1452625062162467,-0.3868985648179432,-0.1566761351865505,-0.6011127192546474,-0.0976176249944289
A047,-0.2689729682861131,-0.1057129763776105,-0.2665144737061188,-0.1083289847938893,-0.4132833615936457,-0.0741787521105492
A048,0.076014268908036,0.0500919880542389,0.2271642225931322,0.0922098378906675,0.2322823928087053,0.0370343602180981
A049,0.3075901294345681,0.077819013143341,0.292675892879743,0.1192355061303319,0.1815498896773308,0.0238177876124836
A050,-0.3149326119496567,-0.0203614978358666,-0.2002181136797328,-0.0815622766829863,-0.0727406973365909,-0.0092420119702283
A051,-0.0358222461368832,-0.0118165391328005,0.1079245000287059,0.0443595584205668,0.0166545616149017,-0.0144608465942996
A052,0.0485588688839959,0.0269537107227282,-0.0378482592063339,-0.0151493017539054,0.1674040081211691,0.0196964912808574
A053,0.1929643213057005,-0.0250522319569221,0.0677360599058081,0.0276872979238101,0.1966153334203744,0.032520517182415
A054,0.2887226247154182,0.163615030903142,0.1827767638372768,0.0738681351133894,0.2938220418768289,0.0846439239583265
