UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence,Z_accuracy,Z_confidence,calibration
A068,T3,Source,1.1442444,82.98,1.0063742,1.3557864617756066,1.0875986514473226,-0.268187810328284
A068,T4,Source,-0.48383042,155.59,0.3517989,-0.5359205886557482,0.38968671677195565,0.9256073054277039
A069,T1,Source,-1.0576996,1.0,-0.28594458,-1.2027157263824408,-0.2902790349962537,0.9124366913861872
A069,T2,Source,-0.9050108,24.96,-1.5041404,-1.0253022095503932,-1.5891263968653082,-0.563824187314915
A069,T3,Source,-0.53834414,79.75,-1.8122358,-0.5992616508737861,-1.9176194773078197,-1.3183578264340334
A069,T4,Source,-1.7287896,140.22,-2.0647402,-1.9824745365297398,-2.186841115090429,-0.20436657856068918
A070,T1,Source,-0.16930422,1.0,0.4542324,-0.1704635330117194,0.49890190127489853,0.669365434286618
A070,T2,Source,0.23320425,24.25,-0.31655166,0.29722265757584676,-0.32291247902868775,-0.6201351366045345
A070,T3,Source,-0.75356513,81.92,-1.4130342,-0.849333121289265,-1.491988444512201,-0.642655323222936
A070,T4,Source,-1.1904025,149.2,-2.1247447,-1.356907050060481,-2.25081825673361,-0.8939112066731292
A071,T1,Source,0.5082413,1.0,1.3271756,0.6167961318556351,1.4296389418777227,0.8128428100220876
A071,T2,Source,0.83159643,30.92,0.4215033,0.992511775694502,0.4640059473622111,-0.5285058283322909
A071,T3,Source,-0.4841799,79.96,-0.16301413,-0.536326659538894,-0.15920988498400382,0.37711677455489023
A071,T4,Source,0.43548703,153.27,-0.056916684,0.5322608489452425,-0.04608818026649421,-0.5783490292117367
A072,T1,Source,1.1708913,1.0,1.5426162,1.386748262783093,1.6593429437757807,0.2725946809926878
A072,T2,Source,1.1662811,33.76,1.1772798,1.381391538548577,1.2698191812211383,-0.11157235732743875
A072,T3,Source,-0.9678977,83.54,0.17890772,-1.0983723109046857,0.2053491502274999,1.3037214611321857
A072,T4,Source,-0.172895,154.89,-0.305306,-0.17463576377108211,-0.31092229191453696,-0.13628652814345485
A073,T1,Source,1.1209983,1.0,0.12170813,1.3287761482907308,0.14436261969459135,-1.1844135285961395
