days,difference,se,ci_lower,ci_upper,sig
0.000000,0.127671,0.040574,0.048146,0.207196,1
0.051558,0.110914,0.033382,0.045486,0.176343,1
0.103116,0.101856,0.031963,0.039209,0.164504,1
0.154673,0.094023,0.030892,0.033476,0.154571,1
0.206231,0.086990,0.030053,0.028086,0.145894,1
0.257789,0.080571,0.029395,0.022957,0.138185,1
0.309347,0.074656,0.028880,0.018051,0.131261,1
0.360905,0.069168,0.028479,0.013349,0.124987,1
0.412462,0.064051,0.028167,0.008843,0.119258,1
0.464020,0.059259,0.027925,0.004525,0.113992,1
0.515578,0.054755,0.027737,0.000389,0.109120,1
0.567136,0.050509,0.027592,-0.003570,0.104589,0
0.618693,0.046496,0.027478,-0.007361,0.100353,0
0.670251,0.042693,0.027388,-0.010988,0.096375,0
0.721809,0.039082,0.027317,-0.014460,0.092624,0
0.773367,0.035645,0.027260,-0.017784,0.089074,0
0.824925,0.032369,0.027212,-0.020967,0.085705,0
0.876482,0.029239,0.027172,-0.024017,0.082496,0
0.928040,0.026246,0.027136,-0.026941,0.079433,0
0.979598,0.023379,0.027104,-0.029745,0.076502,0
1.031156,0.020628,0.027073,-0.032436,0.073691,0
1.082714,0.017985,0.027044,-0.035021,0.070992,0
1.134271,0.015444,0.027015,-0.037507,0.068394,0
1.185829,0.012997,0.026987,-0.039897,0.065890,0
1.237387,0.010638,0.026957,-0.042199,0.063474,0
1.288945,0.008361,0.026928,-0.044417,0.061140,0
1.340503,0.006163,0.026897,-0.046556,0.058882,0
1.392060,0.004037,0.026866,-0.048621,0.056695,0
1.443618,0.001981,0.026835,-0.050615,0.054576,0
1.495176,-0.000011,0.026802,-0.052544,0.052521,0
1.546734,-0.001942,0.026769,-0.054410,0.050526,0
1.598291,-0.003814,0.026736,-0.056217,0.048588,0
1.649849,-0.005632,0.026703,-0.057969,0.046705,0
1.701407,-0.007398,0.026669,-0.059669,0.044873,0
1.752965,-0.009114,0.026635,-0.061319,0.043091,0
1.804523,-0.010783,0.026602,-0.062923,0.041356,0
