Effect,Estimate,SE,t,p_uncorrected,p_bonferroni,CI_lower,CI_upper
Intercept,0.1562399190941754,0.10034849140685398,1.5569732728787584,0.11947683115254853,0.47790732461019414,-0.040443124063258395,0.3529229622516092
LocationType_Source,-0.14096049603969735,0.12004595337988865,-1.1742211384137544,0.24030646125477007,0.9612258450190803,-0.3762505646642791,0.09432957258488439
log_TSVR,-0.04648320244632196,0.022665068538696775,-2.050874117894669,0.040279207249783525,0.1611168289991341,-0.09090673678216764,-0.0020596681104762815
LocationType_Source:log_TSVR,0.041937395464201103,0.03203832962304886,1.3089757162005944,0.19054257668231045,0.7621703067292418,-0.020857730596974662,0.10473252152537688
