LocationType,TEST,TSVR_hours,mean_calibration,CI_lower,CI_upper,n
Destination,T1,1.0,0.12628568049735056,-0.06986140976040545,0.32243277075510657,100
Destination,T2,28.769699999999997,-0.004047885579784278,-0.19726166300159106,0.1891658918420225,100
Destination,T3,78.6681,-0.08555729464756548,-0.30273340178289426,0.1316188124877633,100
Destination,T4,151.3752,-0.0366805002700009,-0.2406612682824837,0.16730026774248186,100
Source,T1,1.0,0.02717317992818797,-0.12106562691706868,0.1754119867734446,100
Source,T2,28.769699999999997,-0.02622004811878878,-0.18360682471691978,0.13116672847934222,100
Source,T3,78.6681,-0.03685745801843724,-0.19561416353517053,0.12189924749829606,100
Source,T4,151.3752,0.03590432620903798,-0.12246144187591791,0.1942700942939939,100
