Variable,Test_Type,N1,N2,Statistic,p_uncorrected,p_bonferroni,CI_lower,CI_upper
Age,Welch's t-test,7,93,0.0002692743789876181,0.9997927163556195,1.0,-10.368509984639015,9.976420890937018
Education,Welch's t-test,7,93,-0.25825637556616726,0.8021415351662985,1.0,-0.8156682027649769,0.6544546850998464
VR_Experience,Welch's t-test,7,93,-0.3547341562299643,0.7339950413621993,1.0,-1.1367895545314899,0.8678955453149002
NART_Score,Welch's t-test,6,91,-1.740261682695591,0.1371195761120009,0.9598370327840063,-15.695192307692306,-0.7558608058608055
RAVLT_Total,Welch's t-test,7,93,-6.218751705318126,0.0002224683531113385,0.0015572784717793695,-17.577304147465433,-9.903187403993858
RAVLT_Pct_Ret,Welch's t-test,7,93,-1.0764797100659635,0.3082619272142202,1.0,-9.796881135590809,2.6111863793315435
REMEMVR_theta,Welch's t-test,7,93,0.5694805621298489,0.5792782103073848,1.0,-0.16799578593648037,0.3150760370571005
