Variable,False_Neg_N,False_Neg_Mean,False_Neg_SD,Other_N,Other_Mean,Other_SD
Age,7,44.57142857142857,14.54713193791297,93,44.56989247311828,14.660207787736729
Education,7,6.0,1.0,93,6.10752688172043,1.6840838406747132
VR_Experience,7,1.0,1.4142135623730951,93,1.1935483870967742,1.0556068161728738
NART_Score,6,25.166666666666668,9.867454923467685,91,32.34065934065934,8.349610476902209
RAVLT_Total,7,39.285714285714285,5.219012860502955,93,52.58064516129032,7.948643007847261
RAVLT_Pct_Ret,7,79.82517482517483,8.133887258215024,93,83.54264910716526,15.169263775381745
REMEMVR_theta,7,0.07547126207142858,0.2883483267652729,93,0.0009642675306451457,0.6980509570033837
