effect,coefficient,SE,z,p_parametric,p_bootstrap,CI_lower,CI_upper
Intercept,-0.09417972557033612,0.10618089257346995,-0.8869743254905317,0.375092723487527,,-0.3022942750143372,0.11393482387366498
"C(congruence, Treatment('Common'))[T.Congruent]",0.1521794796163994,0.10889086000478053,1.3975413511264254,0.16225084084239283,,-0.06124660599297041,0.36560556522576926
"C(congruence, Treatment('Common'))[T.Incongruent]",0.027030718190988078,0.10889086000478058,0.24823679590556416,0.8039511981120628,,-0.18639536741838186,0.240456803800358
log_TSVR,0.02766022512422063,0.02566903714174642,1.0775715883489791,0.281224987124875,,-0.022651087673602348,0.07797153792204362
"C(congruence, Treatment('Common'))[T.Congruent]:log_TSVR",-0.045275174233297,0.029061215039297487,-1.5579243390916206,0.11925118479275848,,-0.10223515571032007,0.011684807243726072
"C(congruence, Treatment('Common'))[T.Incongruent]:log_TSVR",-0.00804195466322428,0.0290612150392975,-0.2767246535407997,0.7819915400467041,,-0.06500193614024738,0.04891802681379882
