congruence,n_obs,n_uid,pre_r_xx,pre_r_yy,pre_r_xy,pre_r_diff,pre_classification,post_r_half,post_r_full,post_classification,improvement_pp,corr_with_simple,sem_method,sem_converged,sem_fallback_reason
Common,400,100,0.33938921255399157,0.6404118813243936,0.5118289797851777,-0.04491957108870451,CATASTROPHIC (NEGATIVE),0.4042724272427242,0.5757749271436018,⚠ MARGINAL (0.50≤r<0.70),62.06944982323063,1.0,empirical_bayes,False,latent_calibration is an unknown command.
Congruent,400,100,0.2710271349397738,0.5772395015516012,0.5800331542985147,-0.37121938945542754,CATASTROPHIC (NEGATIVE),0.23606360636063603,0.38196028933443366,✗ INSUFFICIENT (r<0.50),75.31796787898612,1.0,empirical_bayes,False,latent_calibration is an unknown command.
Incongruent,400,100,0.34346842123812477,0.6382237013352025,0.4711165525189657,0.037304076846544555,CRITICAL,0.4818241824182418,0.6503122140063009,⚠ MARGINAL (0.50≤r<0.70),61.300813715975636,1.0,empirical_bayes,False,latent_calibration is an unknown command.
