composite_ID,UID,test,congruence,TSVR_hours,log_TSVR,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,calibration
A010_T1,A010,T1,Common,1.0,0.6931471805599453,1.6000581,-0.21837638,1.8760889453356318,0.8630463716420728,-1.0130425736935589
A010_T1,A010,T1,Congruent,1.0,0.6931471805599453,2.3352752,-0.14645109,2.652798363197243,1.0142257159062213,-1.6385726472910218
A010_T1,A010,T1,Incongruent,1.0,0.6931471805599453,1.8495548,-0.19839172,2.158758934758419,0.92257391401832,-1.2361850207400988
A010_T2,A010,T2,Common,21.9,3.131136910560194,0.4028944,-0.6135027,0.47687382322352995,0.2225896843265465,-0.2542841388969834
A010_T2,A010,T2,Congruent,21.9,3.131136910560194,0.42396438,-0.49018624,0.4672211633228182,0.4457201634137323,-0.02150099990908594
A010_T2,A010,T2,Incongruent,21.9,3.131136910560194,-0.015681326,-0.5774162,-0.028564089825180387,0.2968039489199721,0.32536803874515247
A010_T3,A010,T3,Common,80.88,4.405254760793088,-0.8561796,-0.71076155,-0.9947005159066761,0.06494369181681521,1.0596442077234913
A010_T3,A010,T3,Congruent,80.88,4.405254760793088,-0.40273643,-0.7472929,-0.4781083050959913,0.020489971526756048,0.4985982766227473
A010_T3,A010,T3,Incongruent,80.88,4.405254760793088,-0.78981763,-0.69089967,-0.936377389333003,0.10944257568851386,1.0458199650215168
A010_T4,A010,T4,Common,145.31,4.985727658390071,-0.14796121,-0.91344815,-0.16695249694662406,-0.2635891895140139,-0.09663669256738983
A010_T4,A010,T4,Congruent,145.31,4.985727658390071,0.304145,-0.7211194,0.3302081237424272,0.0637784745447401,-0.2664296491976871
A010_T4,A010,T4,Incongruent,145.31,4.985727658390071,1.004755,-0.5352292,1.1680800453963867,0.36645474698347463,-0.801625298412912
A011_T1,A011,T1,Common,1.0,0.6931471805599453,0.5500402,0.06464064,0.6488541702013768,1.3217861060214786,0.6729319358201018
A011_T1,A011,T1,Congruent,1.0,0.6931471805599453,0.73472494,0.092816524,0.8225747706216081,1.4099518064460732,0.5873770358244651
A011_T1,A011,T1,Incongruent,1.0,0.6931471805599453,0.927548,0.4180711,1.077541026553136,1.940354922136395,0.8628138955832589
A011_T2,A011,T2,Common,24.57,3.2414197893030954,0.75908333,-0.46051827,0.8931785751842926,0.4705607667101599,-0.42261780847413266
A011_T2,A011,T2,Congruent,24.57,3.2414197893030954,-0.6467364,-0.30347845,-0.7571214125517655,0.7545172570732013,1.5116386696249666
A011_T2,A011,T2,Incongruent,24.57,3.2414197893030954,-0.1538848,-0.3730263,-0.190632385921243,0.6342519696637902,0.8248843555850331
A011_T3,A011,T3,Common,72.55,4.297965447047447,-0.6526953,-0.64517677,-0.7568731330079166,0.17124947002242194,0.9281226030303386
A011_T3,A011,T3,Congruent,72.55,4.297965447047447,0.063042305,-0.53213114,0.054508040058352435,0.3763472507257451,0.3218392106673927
A011_T3,A011,T3,Incongruent,72.55,4.297965447047447,-0.42125666,-0.39844763,-0.5041737211718679,0.5922813170377287,1.0964550382095966
A011_T4,A011,T4,Common,148.85,5.009634793762673,-0.6465008,-0.70183563,-0.7496331556565122,0.07941163501645666,0.8290447906729689
A011_T4,A011,T4,Congruent,148.85,5.009634793762673,-0.5131098,-1.2624987,-0.6043198654665353,-0.8316118806589597,-0.22729201519242448
A011_T4,A011,T4,Incongruent,148.85,5.009634793762673,-0.32422063,-1.0058494,-0.39038161749416717,-0.4105398844149447,-0.020158266920777546
A012_T1,A012,T1,Common,1.0,0.6931471805599453,0.48022103,-0.11299584,0.5672512628652158,1.0338567382000925,0.46660547533487673
A012_T1,A012,T1,Congruent,1.0,0.6931471805599453,0.5804523,-0.07631704,0.6461645494162287,1.1302208268042073,0.48405627738797863
A012_T1,A012,T1,Incongruent,1.0,0.6931471805599453,0.6927246,-0.26319304,0.8021685831550477,0.8155868409017581,0.01341825774671046
A012_T2,A012,T2,Common,25.6,3.2809112157876537,-0.25840938,-0.50322676,-0.2960415677843117,0.40133496057897566,0.6973765283632873
A012_T2,A012,T2,Congruent,25.6,3.2809112157876537,-0.22893,-0.5825451,-0.279361263733263,0.2929673107250373,0.5723285744583002
A012_T2,A012,T2,Incongruent,25.6,3.2809112157876537,0.033447273,-0.6835167,0.02904798097932578,0.1216318698449814,0.0925838888656556
A012_T3,A012,T3,Common,166.33,5.119967910506483,0.65839624,-0.21468535,0.7754980115909743,0.8690291288691343,0.09353111727815999
A012_T3,A012,T3,Congruent,166.33,5.119967910506483,-0.01893545,-0.66364026,-0.0392332344376982,0.15884355660717428,0.19807679104487247
A012_T3,A012,T3,Incongruent,166.33,5.119967910506483,1.1025593,-0.43119046,1.2827730830827486,0.5382228573141743,-0.7445502257685743
A012_T4,A012,T4,Common,166.87,5.123189870334323,0.055890147,-0.8530296,0.07130389303368743,-0.16565730690642785,-0.23696119994011527
A012_T4,A012,T4,Congruent,166.87,5.123189870334323,-1.0322822,-0.8607189,-1.1979916787428735,-0.16710594584454863,1.0308857328983247
A012_T4,A012,T4,Incongruent,166.87,5.123189870334323,-1.1840969,-0.8213732,-1.3987403649185473,-0.10596941119517843,1.292770953723369
A013_T1,A013,T1,Common,1.0,0.6931471805599453,-1.0432792,-0.59523505,-1.213377869439134,0.25219955340345196,1.465577422842586
A013_T1,A013,T1,Congruent,1.0,0.6931471805599453,0.5701073,-0.27973455,0.6343350783034659,0.7937874306001926,0.15945235229672672
A013_T1,A013,T1,Incongruent,1.0,0.6931471805599453,-0.16505142,-0.760434,-0.20372724543651263,-0.005358703788835631,0.198368541647677
A013_T2,A013,T2,Common,24.77,3.2492110246642736,-0.48492253,-0.71096057,-0.5607844971240893,0.06462110209434477,0.6254055992184341
A013_T2,A013,T2,Congruent,24.77,3.2492110246642736,-1.0367917,-0.8179554,-1.203148276131274,-0.09637914588239017,1.1067691302488838
A013_T2,A013,T2,Incongruent,24.77,3.2492110246642736,-0.6667165,-0.787793,-0.7920192931928155,-0.05052845238957415,0.7414908408032413
A013_T3,A013,T3,Common,79.66,4.390242789445222,0.6412586,-0.90336365,0.755467964701553,-0.2472433144449133,-1.0027112791464663
A013_T3,A013,T3,Congruent,79.66,4.390242789445222,1.4323087,-0.2663049,1.6202593465184125,0.8159988064022622,-0.8042605401161503
A013_T3,A013,T3,Incongruent,79.66,4.390242789445222,1.194037,-0.5437398,1.3900470505214164,0.35240373406482084,-1.0376433164565957
A013_T4,A013,T4,Common,147.13,4.998090266593961,-1.0111758,-1.0204393,-1.1758562149225347,-0.43701017929034314,0.7388460356321915
A013_T4,A013,T4,Congruent,147.13,4.998090266593961,-1.1159241,-1.0938703,-1.293635897193003,-0.5527163946781851,0.740919502514818
A013_T4,A013,T4,Incongruent,147.13,4.998090266593961,-1.192921,-1.4462161,-1.4090882006869974,-1.137585943522986,0.27150225716401133
A014_T1,A014,T1,Common,1.0,0.6931471805599453,0.1288651,-0.31575117,0.15659520095842644,0.7052124530323354,0.548617252073909
A014_T1,A014,T1,Congruent,1.0,0.6931471805599453,0.53654695,-0.20850998,0.5959589361227787,0.9115861588329323,0.31562722271015353
A014_T1,A014,T1,Incongruent,1.0,0.6931471805599453,0.27505073,-0.20865713,0.31237125407525634,0.9056257072496696,0.5932544531744133
A014_T2,A014,T2,Common,25.66,3.2831643147505627,1.320731,-0.18863544,1.549618386350491,0.9112531929696165,-0.6383651933808746
A014_T2,A014,T2,Congruent,25.66,3.2831643147505627,-0.2694951,-0.46776143,-0.32574731290062237,0.4828086863610919,0.8085559992617143
A014_T2,A014,T2,Incongruent,25.66,3.2831643147505627,1.0895128,-0.085784435,1.2674737279810289,1.108488704546546,-0.15898502343448295
A014_T3,A014,T3,Common,70.56,4.270536258640519,0.48942116,-0.5067355,0.5780041457177424,0.3956476755683201,-0.1823564701494223
A014_T3,A014,T3,Congruent,70.56,4.270536258640519,0.38656035,-0.61916596,0.42444978658179244,0.23239985858332274,-0.1920499279984697
A014_T3,A014,T3,Incongruent,70.56,4.270536258640519,-0.10083751,-0.3742499,-0.12842494891561682,0.6322318042926923,0.7606567532083092
A014_T4,A014,T4,Common,148.87,5.009768251656904,-0.78735405,-0.5309494,-0.9142589268844875,0.35639958351262147,1.270658510397109
A014_T4,A014,T4,Congruent,148.87,5.009768251656904,-0.7313914,-1.1417136,-0.8539241072884434,-0.6318447052381145,0.22207940205032883
A014_T4,A014,T4,Incongruent,148.87,5.009768251656904,-0.9997553,-0.6940057,-1.1825668625677894,0.10431451566269598,1.2868813782304853
A015_T1,A015,T1,Common,1.0,0.6931471805599453,1.4246364,0.1478312,1.671060430533009,1.4566289341922862,-0.21443149634072278
A015_T1,A015,T1,Congruent,1.0,0.6931471805599453,1.073113,0.080849946,1.2095203269941395,1.39016021388612,0.18063988689198052
A015_T1,A015,T1,Incongruent,1.0,0.6931471805599453,1.1283869,0.029915275,1.3130605643095277,1.2995090932258972,-0.013551471083630418
A015_T2,A015,T2,Common,23.69,3.206398303357088,1.1372008,-0.23167688,1.3351128586567775,0.8414877111872588,-0.4936251474695187
A015_T2,A015,T2,Congruent,23.69,3.206398303357088,1.3152177,-0.2513115,1.4863661998712876,0.8407964773728943,-0.6455697224983933
A015_T2,A015,T2,Incongruent,23.69,3.206398303357088,1.361513,-0.34297073,1.5864426198323889,0.6838737592376746,-0.9025688605947143
A015_T3,A015,T3,Common,70.59,4.270955399408094,1.4038924,-0.16636986,1.6468153598771802,0.9473432707147761,-0.6994720891624041
A015_T3,A015,T3,Congruent,70.59,4.270955399408094,1.4822278,-0.30403167,1.6773416617842525,0.7536022833157898,-0.9237393784684627
A015_T3,A015,T3,Incongruent,70.59,4.270955399408094,1.3649361,-0.38712233,1.5904568169311277,0.6109794037305151,-0.9794774132006127
A015_T4,A015,T4,Common,146.54,4.9940993254561565,-0.47030097,-0.647737,-0.5436951818860233,0.1670996163134464,0.7107947981994697
A015_T4,A015,T4,Congruent,146.54,4.9940993254561565,-0.32867005,-0.4556535,-0.3934136600851735,0.5028340618113197,0.8962477218964933
A015_T4,A015,T4,Incongruent,146.54,4.9940993254561565,0.19643967,-0.3982483,0.2201857237136582,0.5926104111562486,0.3724246874425904
A016_T1,A016,T1,Common,1.0,0.6931471805599453,1.3420854,-0.42651024,1.5745768773268134,0.5256840757216352,-1.0488928016051782
A016_T1,A016,T1,Congruent,1.0,0.6931471805599453,1.291089,-0.32729107,1.458775116290957,0.7151334271407846,-0.7436416891501724
A016_T1,A016,T1,Incongruent,1.0,0.6931471805599453,1.2802452,-0.20109226,1.4911415865640385,0.918115318569428,-0.5730262679946105
A016_T2,A016,T2,Common,32.85,3.521938999358284,0.5615982,-0.7083215,0.6623628727968295,0.06889874684803712,-0.5934641259487924
A016_T2,A016,T2,Congruent,32.85,3.521938999358284,1.5499188,-0.47805068,1.754746082189668,0.4657912362807514,-1.2889548459089166
A016_T2,A016,T2,Incongruent,32.85,3.521938999358284,1.489516,-0.51146555,1.7365490354293247,0.40568856753012983,-1.3308604678991949
A016_T3,A016,T3,Common,80.64,4.402319337941644,0.17722866,-0.8704279,0.21312132559048466,-0.1938580544114832,-0.40697938000196787
A016_T3,A016,T3,Congruent,80.64,4.402319337941644,-1.2432284,-1.0141622,-1.439207916466129,-0.42088670711604126,1.0183212093500877
A016_T3,A016,T3,Incongruent,80.64,4.402319337941644,0.26608974,-0.6307198,0.3018628902939388,0.20879962816576564,-0.09306326212817317
A016_T4,A016,T4,Common,150.8,5.02256386496153,-0.875939,-1.3285408,-1.0177948105999264,-0.9364091209932007,0.08138568960672565
A016_T4,A016,T4,Congruent,150.8,5.02256386496153,-1.4394764,-1.9602563,-1.6636168141884555,-1.9856372106080007,-0.32202039641954516
A016_T4,A016,T4,Incongruent,150.8,5.02256386496153,-0.3671518,-1.0874058,-0.44072609415551645,-0.545189618863619,-0.1044635247081026
A017_T1,A017,T1,Common,1.0,0.6931471805599453,-0.17695434,0.22713786,-0.20083894533573077,1.5851763838930775,1.7860153292288081
A017_T1,A017,T1,Congruent,1.0,0.6931471805599453,-0.758377,-0.15210493,-0.8847820459699871,1.0048747972326317,1.8896568432026188
A017_T1,A017,T1,Incongruent,1.0,0.6931471805599453,-0.49409226,-0.050550863,-0.5895864915276577,1.1666593829173206,1.7562458744449785
