UID,test,congruence,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A010,T1,Common,1.0,1.6000581,-0.21837638,1.8524831014943817,0.8831866868997847,-0.9692964145945969
A010,T2,Common,21.9,0.4028944,-0.6135027,0.46096626206867486,0.23396742037816895,-0.2269988416905059
A010,T3,Common,80.88,-0.8561796,-0.71076155,-1.0025116842498465,0.07416455212141534,1.0766762363712619
A010,T4,Common,145.31,-0.14796121,-0.91344815,-0.1793178172156534,-0.2588632395624193,-0.0795454223467659
A011,T1,Common,1.0,0.5500402,0.06464064,0.6320003976265498,1.3482027914648602,0.7162023938383104
A011,T2,Common,24.57,0.75908333,-0.46051827,0.8749805644669385,0.48533118534788156,-0.38964937911905695
A011,T3,Common,72.55,-0.6526953,-0.64517677,-0.7659927938017379,0.18192478122126765,0.9479175750230056
A011,T4,Common,148.85,-0.6465008,-0.70183563,-0.7587926497764701,0.08883044234971138,0.8476230921261815
A012,T1,Common,1.0,0.48022103,-0.11299584,0.5508464578857056,1.0563340411040094,0.5054875832183038
A012,T2,Common,25.6,-0.25840938,-0.50322676,-0.3076966583371752,0.4151582478628622,0.7228549062000373
A012,T3,Common,166.33,0.65839624,-0.21468535,0.7579474626047857,0.8892512988175868,0.13130383621280106
A012,T4,Common,166.87,0.055890147,-0.8530296,0.05762771997803319,-0.1595914757495213,-0.2172191957275545
A013,T1,Common,1.0,-1.0432792,-0.59523505,-1.219985906070817,0.2639824047863794,1.4839683108571964
A013,T2,Common,24.77,-0.48492253,-0.71096057,-0.5709830097161562,0.07383754880150702,0.6448205585176633
A013,T3,Common,79.66,0.6412586,-0.90336365,0.738027618185835,-0.24229372403827684,-0.9803213422241118
A013,T4,Common,147.13,-1.0111758,-1.0204393,-1.182670690363208,-0.4346569349237007,0.7480137554395073
A014,T1,Common,1.0,0.1288651,-0.31575117,0.1424497672517682,0.7231933213819007,0.5807435541301326
A014,T2,Common,25.66,1.320731,-0.18863544,1.5278087371130125,0.9320530627273008,-0.5957556743857116
A014,T3,Common,70.56,0.48942116,-0.5067355,0.5615401799054308,0.40939315074350285,-0.15214702916192796
A014,T4,Common,148.87,-0.78735405,-0.5309494,-0.9225126734147068,0.36960807543485785,1.2921207488495647
A015,T1,Common,1.0,1.4246364,0.1478312,1.6485826244329034,1.4848905078000376,-0.16369211663286576
A015,T2,Common,23.69,1.1372008,-0.23167688,1.3144833883380973,0.8613330658745624,-0.4531503224635349
A015,T3,Common,70.59,1.4038924,-0.16636986,1.624470946709091,0.9686369165092468,-0.6558340301998442
A015,T4,Common,146.54,-0.47030097,-0.647737,-0.5539877174610758,0.17771815018052434,0.7317058676416002
A016,T1,Common,1.0,1.3420854,-0.42651024,1.5526299100201364,0.541208678632675,-1.0114212313874615
A016,T2,Common,32.85,0.5615982,-0.7083215,0.6454347772607488,0.07817371929427291,-0.5672610579664759
A016,T3,Common,80.64,0.17722866,-0.8704279,0.1986648931819777,-0.18817805931278028,-0.386842952494758
A016,T4,Common,150.8,-0.875939,-1.3285408,-1.0254789174168297,-0.9408885366155588,0.0845903808012709
A017,T1,Common,1.0,-0.17695434,0.22713786,-0.21301782718309445,1.6151967137634347,1.8282145409465291
A017,T2,Common,20.61,0.741939,0.12913221,0.8550529439621811,1.4541668025999004,0.5991138586377193
A017,T3,Common,61.28,0.18003759,0.25517404,0.20192983798089537,1.6612620536164417,1.4593322156355464
A017,T4,Common,140.49,0.4956496,-0.10067907,0.5687797739086173,1.0765713272086541,0.5077915533000368
A018,T1,Common,1.0,1.0604457,-0.26172757,1.2252675073672625,0.8119577498483648,-0.41330975751889776
