contrast,estimate,SE,z,p_uncorrected,p_bonferroni,CI_lower,CI_upper
Congruent - Common,0.1521794796163994,0.10889086000478053,1.3975413511264254,0.16225084084239283,0.4867525225271785,-0.06124660599297041,0.36560556522576926
Incongruent - Common,0.027030718190988078,0.10889086000478058,0.24823679590556416,0.8039511981120628,1.0,-0.18639536741838186,0.240456803800358
Congruent - Incongruent,0.12514876142541134,0.1539949310372307,0.8126810446452596,0.41640095183296455,1.0,-0.1766813034075608,0.42697882625838346
