UID,calibration,trajectory_variability
A010,-1.9076582946097247,0.8786900989915966
A011,0.949292758094952,0.3286124374990197
A012,-0.5175115939479766,0.8598333186910297
A013,-0.1554713909363727,0.4951515817902192
A014,0.5396801159559708,0.7273013106468428
A015,-0.4843315827966457,0.4075571934323154
A016,-0.8105097802657546,0.5540660365754506
A017,1.3523012849015927,0.7604741277814175
A018,0.0160694584431643,0.4110163404844931
A019,0.3057328336495987,0.1746861834756898
A020,0.4572346628645505,0.5888521562833118
A021,-0.1616132050583425,0.3117814797571789
A022,-1.170647075256522,0.45225535207659406
A023,-0.0737004639591705,0.5001600537583467
A024,0.1638191020703384,0.3647031495720423
A025,-0.3068688973460576,0.906971286609337
A026,-0.5775006328989419,0.45846792714542994
A027,0.0226214953781773,0.39952728453869407
A028,-0.4215532894210354,0.5899818659540579
A029,-0.2057800495612314,0.5793648276292296
A030,-0.1399910301641312,0.6708508855596673
A031,-0.3054160483228081,0.8021904668540473
A032,-0.5709987359571815,0.9254431096143143
A033,0.294996474033965,0.6025275834875
A034,-0.1504850194707743,0.5491749036052409
A035,0.8786845898852161,0.6675252053923151
A036,-2.3131707018743426,0.531765505240515
A037,-0.283122061635057,0.33333627292558243
A038,-0.0497973920299397,0.47060084719327483
A039,-0.102233506477396,0.2641344122031941
A040,0.6205641654566856,0.6489229151141472
A041,-0.1162605184071854,0.9006109837312635
A042,0.641912580596348,0.6711705921998056
A043,1.1998014700218629,0.25887510969721633
A044,-0.4255750989560331,0.4193256291361426
A045,0.769583759006768,0.35411811074201965
A046,1.472690840236521,0.3810512814027412
A047,1.1596532536921074,0.2989048978451949
A048,-0.433429801212383,0.35473994068832937
A049,-0.6709614393356298,0.8743972722182533
A050,0.4339047614468765,0.2079956508455928
A051,0.1434503585430142,0.6589306419058862
A052,0.3748194805914449,0.33595698244155175
A053,-0.7082353143307693,0.47554355731464915
A054,1.1017774261382312,0.806847780303246
A055,0.5753380805378827,0.4566853898878246
A056,-0.2255957538046272,0.40791743468392316
A057,0.1732832633302319,0.3180401409500075
A058,-0.4877578475212444,0.6266424013191613
A059,-0.7180548445339694,0.5261126093033655
A060,1.2315889883704016,0.8389212515364303
A061,0.362116978484555,0.7228943418504209
A062,-0.8379913851205988,0.5358371856592742
A063,-1.1639390084515662,0.27718638930650197
A064,0.0738292122108078,0.19279036698603869
A065,2.2083272346910765,0.7603834743231652
A066,-0.0452320457838189,0.25643160212213967
A067,-0.4816833888568928,0.6368104030930872
A068,0.8825819488422271,0.3321181240676909
A069,1.0655213274003037,0.5253970175567994
A070,-0.388269694526838,0.2256086608283958
A071,0.2302902454908744,0.5517053439483903
A072,0.1151512494275415,0.4706227894098099
A073,-0.9459958925847416,0.7419045423698224
A074,-0.8216971818979142,0.5295254150829929
A075,-0.3146628268099437,0.7468531557562968
A076,0.1327777011463652,0.5326299048709703
A077,-0.263069726985504,0.46026111415410775
A078,-1.0287113247120576,0.3266948289237912
A079,-0.1650344453730302,0.2408848282602567
A080,0.7329245713468604,0.425313971511522
A081,0.660988495596227,0.6990939957820588
A082,-0.3522889487576383,0.5167777937055271
A083,-0.765521374380618,0.3808032138801884
A084,-0.8503227532063711,0.4861145733250728
A085,0.5341869948734976,0.8440967031922817
A086,0.306959521686354,0.4233516005739827
A087,0.2537714295359716,0.4423460229979179
A088,-1.8983449761022573,0.735199830651241
A089,-0.3771073303382559,0.06992170077241935
A090,-0.8991872743927756,0.33141696328307474
A091,0.2898443947132697,0.3454223988333804
A092,0.5054961679963793,0.3509510478719884
A093,1.0117019934504303,0.5691760859658758
A094,0.5671440719585294,0.5301120391753915
A095,-0.5836886717336831,0.6002466490007531
A096,1.725187539720194,0.4121731103227429
A097,-0.6929943682580019,0.8065365252252927
A098,0.1130519614387999,0.7386245708347327
A099,0.382410906153706,0.5978314372926627
A100,1.0032539840693422,0.6640345894455779
A101,0.7452322076094552,0.4672791882341312
A102,0.7921943255314284,0.7052180545056813
A103,-3.726613728423806,1.139781549071947
A104,-0.2386271431114313,1.0140074551153526
A105,1.3505579174219382,0.386144977234115
A106,-0.3831903397200836,0.6416731180949603
A107,-0.927062077125688,0.46940490005283303
A108,0.1725702623477432,0.500038714151225
A109,0.7343002580982798,0.5239212436409924
