UID,trajectory_variability
A010,0.8786900989915966
A011,0.3286124374990197
A012,0.8598333186910297
A013,0.4951515817902192
A014,0.7273013106468428
A015,0.4075571934323154
A016,0.5540660365754506
A017,0.7604741277814175
A018,0.4110163404844931
A019,0.1746861834756898
A020,0.5888521562833118
A021,0.3117814797571789
A022,0.45225535207659406
A023,0.5001600537583467
A024,0.3647031495720423
A025,0.906971286609337
A026,0.45846792714542994
A027,0.39952728453869407
A028,0.5899818659540579
A029,0.5793648276292296
A030,0.6708508855596673
A031,0.8021904668540473
A032,0.9254431096143143
A033,0.6025275834875
A034,0.5491749036052409
A035,0.6675252053923151
A036,0.531765505240515
A037,0.33333627292558243
A038,0.47060084719327483
A039,0.2641344122031941
A040,0.6489229151141472
A041,0.9006109837312635
A042,0.6711705921998056
A043,0.25887510969721633
A044,0.4193256291361426
A045,0.35411811074201965
A046,0.3810512814027412
A047,0.2989048978451949
A048,0.35473994068832937
A049,0.8743972722182533
A050,0.2079956508455928
A051,0.6589306419058862
A052,0.33595698244155175
A053,0.47554355731464915
A054,0.806847780303246
A055,0.4566853898878246
A056,0.40791743468392316
A057,0.3180401409500075
A058,0.6266424013191613
A059,0.5261126093033655
A060,0.8389212515364303
A061,0.7228943418504209
A062,0.5358371856592742
A063,0.27718638930650197
A064,0.19279036698603869
A065,0.7603834743231652
A066,0.25643160212213967
A067,0.6368104030930872
A068,0.3321181240676909
A069,0.5253970175567994
A070,0.2256086608283958
A071,0.5517053439483903
A072,0.4706227894098099
A073,0.7419045423698224
A074,0.5295254150829929
A075,0.7468531557562968
A076,0.5326299048709703
A077,0.46026111415410775
A078,0.3266948289237912
A079,0.2408848282602567
A080,0.425313971511522
A081,0.6990939957820588
A082,0.5167777937055271
A083,0.3808032138801884
A084,0.4861145733250728
A085,0.8440967031922817
A086,0.4233516005739827
A087,0.4423460229979179
A088,0.735199830651241
A089,0.06992170077241935
A090,0.33141696328307474
A091,0.3454223988333804
A092,0.3509510478719884
A093,0.5691760859658758
A094,0.5301120391753915
A095,0.6002466490007531
A096,0.4121731103227429
A097,0.8065365252252927
A098,0.7386245708347327
A099,0.5978314372926627
A100,0.6640345894455779
A101,0.4672791882341312
A102,0.7052180545056813
A103,1.139781549071947
A104,1.0140074551153526
A105,0.386144977234115
A106,0.6416731180949603
A107,0.46940490005283303
A108,0.500038714151225
A109,0.5239212436409924
