UID,calibration
A010,-1.9076582946097247
A011,0.949292758094952
A012,-0.5175115939479766
A013,-0.1554713909363727
A014,0.5396801159559708
A015,-0.4843315827966457
A016,-0.8105097802657546
A017,1.3523012849015927
A018,0.0160694584431643
A019,0.3057328336495987
A020,0.4572346628645505
A021,-0.1616132050583425
A022,-1.170647075256522
A023,-0.0737004639591705
A024,0.1638191020703384
A025,-0.3068688973460576
A026,-0.5775006328989419
A027,0.0226214953781773
A028,-0.4215532894210354
A029,-0.2057800495612314
A030,-0.1399910301641312
A031,-0.3054160483228081
A032,-0.5709987359571815
A033,0.294996474033965
A034,-0.1504850194707743
A035,0.8786845898852161
A036,-2.3131707018743426
A037,-0.283122061635057
A038,-0.0497973920299397
A039,-0.102233506477396
A040,0.6205641654566856
A041,-0.1162605184071854
A042,0.641912580596348
A043,1.1998014700218629
A044,-0.4255750989560331
A045,0.769583759006768
A046,1.472690840236521
A047,1.1596532536921074
A048,-0.433429801212383
A049,-0.6709614393356298
A050,0.4339047614468765
A051,0.1434503585430142
A052,0.3748194805914449
A053,-0.7082353143307693
A054,1.1017774261382312
A055,0.5753380805378827
A056,-0.2255957538046272
A057,0.1732832633302319
A058,-0.4877578475212444
A059,-0.7180548445339694
A060,1.2315889883704016
A061,0.362116978484555
A062,-0.8379913851205988
A063,-1.1639390084515662
A064,0.0738292122108078
A065,2.2083272346910765
A066,-0.0452320457838189
A067,-0.4816833888568928
A068,0.8825819488422271
A069,1.0655213274003037
A070,-0.388269694526838
A071,0.2302902454908744
A072,0.1151512494275415
A073,-0.9459958925847416
A074,-0.8216971818979142
A075,-0.3146628268099437
A076,0.1327777011463652
A077,-0.263069726985504
A078,-1.0287113247120576
A079,-0.1650344453730302
A080,0.7329245713468604
A081,0.660988495596227
A082,-0.3522889487576383
A083,-0.765521374380618
A084,-0.8503227532063711
A085,0.5341869948734976
A086,0.306959521686354
A087,0.2537714295359716
A088,-1.8983449761022573
A089,-0.3771073303382559
A090,-0.8991872743927756
A091,0.2898443947132697
A092,0.5054961679963793
A093,1.0117019934504303
A094,0.5671440719585294
A095,-0.5836886717336831
A096,1.725187539720194
A097,-0.6929943682580019
A098,0.1130519614387999
A099,0.382410906153706
A100,1.0032539840693422
A101,0.7452322076094552
A102,0.7921943255314284
A103,-3.726613728423806
A104,-0.2386271431114313
A105,1.3505579174219382
A106,-0.3831903397200836
A107,-0.927062077125688
A108,0.1725702623477432
A109,0.7343002580982798
