UID,paradigm,Total_Intercept,Total_Slope
A010,ICR,0.49881295419275706,-0.005348117632617986
A011,ICR,-0.09198332721801983,0.0009861795811078762
A012,ICR,0.01329331202546877,-0.00014255916535608725
A013,ICR,-0.2865260885053281,0.003071997338917956
A014,ICR,0.0873276443511242,-0.0009363032379027577
A015,ICR,0.9095535705065202,-0.009751317812196283
A016,ICR,0.2569925031624895,-0.002755499747214845
A017,ICR,0.18556357929537778,-0.001988710732278863
A018,ICR,0.2970125224366976,-0.0031843364252143094
A019,ICR,-0.5002716411603418,0.005363629855912224
A020,ICR,-0.57779284090804,0.0061943538472552405
A021,ICR,0.3185504243698682,-0.003415049919695505
A022,ICR,0.33432054709676645,-0.003583788841914856
A023,ICR,0.278978391668719,-0.0029907907505688403
A024,ICR,-0.3226150231931175,0.0034587741762062414
A025,ICR,0.42432804553452563,-0.00454957907011681
A026,ICR,0.2824593243615117,-0.00302827295298444
A027,ICR,-0.08346417085606123,0.0008947406297188324
A028,ICR,0.3517368907661649,-0.0037713826958725985
A029,ICR,0.7317904145406108,-0.007845554953251925
A030,ICR,0.37578952772094537,-0.004028471443906929
A031,ICR,0.03524746094919916,-0.0003782605586863845
A032,ICR,0.49153629123848164,-0.005269416403534778
A033,ICR,0.13130561862346915,-0.0014074526787597606
A034,ICR,0.5992575870532643,-0.006424858136078842
A035,ICR,-0.19046977029644072,0.0020423213516116453
A036,ICR,-0.11085666259380104,0.0011881468606496207
A037,ICR,0.2434155492832765,-0.0026098069556390303
A038,ICR,0.33925511989730245,-0.003637138483319725
A039,ICR,0.9174961289557761,-0.009836452572317352
A040,ICR,-0.7614559355073537,0.008163534434556544
A041,ICR,0.21373014145372757,-0.002291454162395509
A042,ICR,-0.7027162279474429,0.00753399540293695
A043,ICR,0.10490455478203996,-0.0011246762444551577
A044,ICR,-0.6744377569944221,0.007230668818095858
A045,ICR,-0.5482381996034152,0.005877855901550073
A046,ICR,-1.138158098073727,0.01220220565689231
A047,ICR,-0.587819624649866,0.006301979340122731
