model_name,AIC,delta_AIC,weight
Logarithmic,1747.766780527858,0.0,0.6348353318354446
Quadratic,1750.2198628002407,2.453082272382744,0.18620058546677637
Linear+Logarithmic,1750.705789250479,2.939008722621111,0.14603718543051925
Quadratic+Logarithmic,1753.922025535563,6.155245007705162,0.029246009630037054
Linear,1758.0672039607716,10.300423432913703,0.003680887637222641
