effect_label,cohens_d,beta,power_at_n100,n_for_80pct_power
Observed,0.11895745524610594,0.1,0.2547816216227853,466
Small,0.2,0.1681273355976123,0.588446991841197,165
Medium,0.5,0.42031833899403076,0.9997662476495657,27
Large,0.8,0.6725093423904492,0.9999999999937332,11
