UID,Days,LocationType,theta
A010,0.0416666666666666,source,1.623562
A010,0.9125,source,0.09898508
A010,3.37,source,-0.5057274
A010,6.054583333333333,source,0.5918101
A011,0.0416666666666666,source,0.12731029
A011,1.02375,source,-0.20856883
A011,3.0229166666666667,source,-0.8450841
A011,6.202083333333333,source,-0.13091515
A012,0.0416666666666666,source,1.0843484
A012,1.0666666666666669,source,-0.13956255
A012,6.930416666666667,source,1.1480632
A012,6.952916666666667,source,-0.95036143
A013,0.0416666666666666,source,-0.15501398
A013,1.0320833333333332,source,-0.8239752
A013,3.3191666666666664,source,0.5210637
A013,6.130416666666666,source,-1.5770361
A014,0.0416666666666666,source,0.47304404
A014,1.0691666666666666,source,1.1207099
A014,2.94,source,0.04152508
A014,6.202916666666667,source,-1.1226914
A015,0.0416666666666666,source,1.200968
A015,0.9870833333333334,source,1.5226954
A015,2.94125,source,1.1774372
A015,6.105833333333333,source,-0.10652651
A016,0.0416666666666666,source,1.356192
A016,1.36875,source,1.3373035
A016,3.36,source,-0.013329637
A016,6.283333333333334,source,-1.0709041
A017,0.0416666666666666,source,-0.2286647
A017,0.85875,source,0.8418083
A017,2.553333333333333,source,0.1830041
A017,5.853750000000001,source,1.0870038
A018,0.0416666666666666,source,0.9366276
A018,1.4179166666666667,source,0.34145153
A018,3.485,source,-0.39613545
A018,6.28625,source,0.23495352
A019,0.0416666666666666,source,-0.8907665
A019,1.1954166666666668,source,-0.8944451
A019,3.486666666666667,source,-0.5290039
A019,6.448333333333333,source,-1.2386124
A020,0.0416666666666666,source,0.35700476
A020,1.11875,source,0.35810092
A020,3.2604166666666665,source,-0.56137884
A020,6.074166666666667,source,-1.6343551
A021,0.0416666666666666,source,1.2139407
A021,1.25875,source,-0.017297959
A021,3.09125,source,0.36036015
A021,5.8495833333333325,source,1.0062183
A022,0.0416666666666666,source,0.1581856
A022,1.00625,source,0.90218073
A022,3.1025,source,0.64592147
A022,5.904583333333334,source,0.74378496
A023,0.0416666666666666,source,0.8170031
A023,1.0679166666666666,source,0.5076978
A023,3.0083333333333333,source,0.6582759
A023,6.044583333333333,source,-0.32591987
A024,0.0416666666666666,source,0.31113845
A024,1.2320833333333334,source,0.54446435
A024,3.81125,source,-0.2945651
A024,6.0687500000000005,source,-1.4681152
A025,0.0416666666666666,source,1.0412298
A025,0.9720833333333332,source,1.480383
A025,3.0391666666666666,source,0.13729797
A025,5.739166666666667,source,-0.3094319
A026,0.0416666666666666,source,0.8561924
A026,1.1033333333333333,source,-0.1953155
A026,3.1441666666666666,source,0.7336966
A026,6.152083333333334,source,-0.42854974
A027,0.0416666666666666,source,0.59530455
A027,1.1775,source,0.7602098
A027,3.1075,source,-0.47716057
A027,6.079999999999999,source,-0.4226555
A028,0.0416666666666666,source,1.1920228
A028,0.9508333333333332,source,-0.37323314
A028,3.0108333333333337,source,0.4525285
A028,5.787916666666667,source,-1.4747403
A029,0.0416666666666666,source,1.4011933
A029,1.184583333333333,source,0.22787775
A029,3.8858333333333337,source,1.1538624
A029,5.964166666666666,source,-0.056302976
A030,0.0416666666666666,source,0.77168596
A030,1.3729166666666668,source,1.0246594
A030,2.9970833333333338,source,0.54660773
A030,6.269166666666667,source,1.3088306
A031,0.0416666666666666,source,1.2707294
A031,1.3504166666666666,source,-0.06876846
A031,2.981666666666667,source,-0.23774107
A031,5.99375,source,-1.0014096
A032,0.0416666666666666,source,0.95065767
A032,2.3825,source,-0.558087
A032,3.34,source,0.03167592
A032,6.021249999999999,source,1.2263699
A033,0.0416666666666666,source,0.01302593
A033,1.215,source,0.11565804
A033,3.025,source,1.0797325
A033,7.013750000000001,source,-0.57237154
A034,0.0416666666666666,source,1.4213097
A034,1.086666666666667,source,1.3198788
A034,3.095,source,0.29753846
A034,6.0575,source,0.2194541
A035,0.0416666666666666,source,-0.58022076
A035,1.865,source,0.94498247
A035,3.3325,source,-0.67052317
A035,6.352916666666666,source,-1.0736576
A036,0.0416666666666666,source,0.56033707
A036,0.90125,source,0.11009441
A036,2.9779166666666668,source,-0.44275582
A036,5.99375,source,-1.2420775
A037,0.0416666666666666,source,0.971286
A037,0.9875,source,0.94823486
A037,3.0033333333333334,source,0.0045165215
A037,5.985833333333333,source,-0.5205274
A038,0.0416666666666666,source,0.71647024
A038,2.99375,source,-0.52280927
A038,3.035833333333333,source,1.3734354
A038,6.370416666666666,source,-0.27067098
A039,0.0416666666666666,source,1.3928413
A039,1.19375,source,0.31963685
A039,4.118333333333333,source,1.0655857
A039,10.26,source,0.74151385
A040,0.0416666666666666,source,-0.46198902
A040,1.0941666666666667,source,-0.335709
A040,2.97,source,-1.4675875
A040,5.980416666666667,source,-1.0677122
A041,0.0416666666666666,source,1.079175
A041,1.3241666666666667,source,-1.0853513
A041,3.1558333333333333,source,-0.1782166
A041,5.91,source,0.9023358
A042,0.0416666666666666,source,-0.5589121
A042,1.2054166666666666,source,-1.3708228
A042,3.0070833333333336,source,-0.8300745
A042,6.084166666666667,source,-1.5882493
A043,0.0416666666666666,source,0.66669923
A043,1.0675,source,0.21157885
A043,2.705833333333333,source,-0.3631573
A043,6.222083333333334,source,-0.15410642
A044,0.0416666666666666,source,-0.77502024
A044,1.985833333333333,source,-0.4404797
A044,3.817916666666666,source,-1.4569299
A044,6.4695833333333335,source,-1.2631737
A045,0.0416666666666666,source,-0.5580017
A045,1.0275,source,-0.8744425
A045,3.009583333333333,source,-0.7973534
A045,6.3133333333333335,source,-0.57261163
A046,0.0416666666666666,source,-0.6971506
A046,1.0133333333333334,source,-1.4928403
A046,3.04375,source,-1.7452676
A046,6.164166666666667,source,-0.63528097
A047,0.0416666666666666,source,-0.35001668
A047,0.9775,source,-0.16671039
A047,3.202083333333333,source,-1.3709793
A047,6.009166666666666,source,-1.6715268
A048,0.0416666666666666,source,1.1008136
A048,0.99625,source,0.42243886
A048,3.38125,source,-0.026019838
A048,6.095833333333334,source,-0.17341782
A049,0.0416666666666666,source,1.1971763
A049,1.13,source,-1.2098973
A049,4.640833333333333,source,0.85623467
A049,7.035833333333334,source,-0.14212708
A050,0.0416666666666666,source,0.004513393
A050,1.0304166666666668,source,-0.64157915
A050,3.89125,source,-0.91331995
A050,6.195416666666667,source,-0.3250553
A051,0.0416666666666666,source,1.209352
A051,0.715,source,-0.22324474
A051,2.734583333333333,source,-0.78436285
A051,6.124583333333334,source,-0.21998222
A052,0.0416666666666666,source,0.78120226
A052,1.3233333333333337,source,-0.19870977
A052,3.374166666666667,source,0.39233577
A052,6.38625,source,-0.8431323
A053,0.0416666666666666,source,1.0110499
A053,1.3629166666666668,source,0.9028614
A053,3.2616666666666667,source,-0.8095616
A053,6.204166666666667,source,-0.7212973
A054,0.0416666666666666,source,-0.009010122
A054,0.7041666666666666,source,1.0112917
A054,3.0345833333333334,source,1.1221242
A054,5.701250000000001,source,1.0953832
A055,0.0416666666666666,source,-0.104547046
A055,0.9683333333333332,source,0.97470355
A055,3.103333333333333,source,-1.0984837
A055,6.217083333333334,source,-1.8678097
A056,0.0416666666666666,source,0.7685593
