timepoint,source_mean,destination_mean,mean_difference,cohens_d,CI_lower,CI_upper
Day0,0.43475460258999993,0.39484602676,0.039908575829999904,0.04969833858038774,-0.22753030560764143,0.3269269827684169
Day1,0.16251644591847828,0.10579441489347827,0.05672203102500001,0.07233840486937564,-0.21674232750113687,0.36141913723988817
Day3,-0.1505163226235955,-0.11762779975617979,-0.0328885228674157,-0.044087884464289684,-0.33793999833216165,0.24976422940358228
Day6,-0.49704315824999995,-0.3056576874431818,-0.19138547080681817,-0.2389000712235008,-0.535433319849239,0.05763317740223747
