time_bin,LocationType,mean_theta,SD_theta,SE_theta,n
"[0, 1) days",source,0.416282415858871,0.7095427421830558,0.0637188192553469,124
"[0, 1) days",destination,0.3611117910298387,0.8438475149633573,0.07577974389476863,124
"[1, 3) days",source,0.028797679239999985,0.809118857586618,0.08091188575866179,100
"[1, 3) days",destination,-0.041581566954999996,0.7779351355682383,0.07779351355682383,100
"[3, 6) days",source,-0.17348052621354168,0.8623102757581261,0.08800917398191933,96
"[3, 6) days",destination,-0.09759201234375002,0.7324426479953078,0.07475461472672736,96
[6+] days,source,-0.5860424102499999,0.7666269163630592,0.08571149491844231,80
[6+] days,destination,-0.27978531972500004,0.7706407594196961,0.08616025621472509,80
