parameter,coefficient,std_error,z_value,p_value,ci_lower,ci_upper
Intercept,0.39047706419518863,0.07558807987884496,5.165855050439937,2.3934222420962487e-07,0.24232714997211577,0.5386269784182615
LocationType[T.source],0.10036427447917222,0.07861848601487192,1.276598921787768,0.20174388273515864,-0.05372512662904268,0.25445367558738713
log_Days_plus1,-0.34716936272235877,0.04791437394482428,-7.245620346039398,4.3046435457621554e-13,-0.4410798099959987,-0.2532589154487188
log_Days_plus1:LocationType[T.source],-0.13660106509700762,0.06084784505898271,-2.2449614273865195,0.02477060890489749,-0.2558606499494872,-0.017341480244528015
Group Var,0.6535171746688557,0.15890714731874062,4.112572566405788,3.912744228584822e-05,0.3420648890381235,0.964969460299588
Group x log_Days_plus1 Cov,-0.14513151969557717,0.0751869951357892,-1.9302742373660067,0.053572867405714306,-0.29249532226751224,0.002232282876357905
log_Days_plus1 Var,0.10928926911663922,0.052161115156754895,2.0952249350536785,0.03615100167891271,0.00705536201595329,0.21152317621732514
