composite_ID,theta_source,theta_destination,se_source,se_destination
A010_1,1.5407857,2.5302436,0.5,0.5
A010_2,0.35051042,1.2813265,0.5,0.5
A010_3,-0.53785276,-0.8553063,0.5,0.5
A010_4,0.68246174,-0.5719191,0.5,0.5
A011_1,0.009176413,1.3258779,0.5,0.5
A011_2,-0.06042577,-0.093422726,0.5,0.5
A011_3,-0.93119067,-0.09312107,0.5,0.5
A011_4,-0.3760612,-0.84466505,0.5,0.5
A012_1,0.63266647,0.5043764,0.5,0.5
A012_2,-0.15779217,-0.93712866,0.5,0.5
A012_3,1.4270998,-0.08540158,0.5,0.5
A012_4,-1.2649114,-1.1248868,0.5,0.5
A013_1,-0.29067817,0.3393283,0.5,0.5
A013_2,-0.6879138,-0.0021387874,0.5,0.5
A013_3,0.27515042,0.97530663,0.5,0.5
A013_4,-1.1706479,-0.04036345,0.5,0.5
A014_1,0.5760392,1.1243885,0.5,0.5
A014_2,1.1005374,0.083990335,0.5,0.5
A014_3,-0.25835556,0.12107967,0.5,0.5
A014_4,-0.9580757,-0.8704483,0.5,0.5
A015_1,1.4592471,1.2339044,0.5,0.5
A015_2,1.6675298,1.4120586,0.5,0.5
A015_3,1.192753,0.4679044,0.5,0.5
A015_4,0.053277552,-0.12786667,0.5,0.5
A016_1,1.7513993,1.6304398,0.5,0.5
A016_2,1.2458832,1.4567043,0.5,0.5
A016_3,-0.03812278,-0.72232664,0.5,0.5
A016_4,-1.126276,-1.1869012,0.5,0.5
A017_1,-0.3379364,-0.33947375,0.5,0.5
A017_2,0.61280423,0.37820715,0.5,0.5
A017_3,-0.06829419,0.23420143,0.5,0.5
A017_4,0.94367874,-0.8095091,0.5,0.5
A018_1,0.85353166,1.4949634,0.5,0.5
A018_2,0.48197764,0.7017024,0.5,0.5
A018_3,-0.51980716,-0.5790968,0.5,0.5
A018_4,0.30031627,-0.5479338,0.5,0.5
A019_1,-0.9128688,-1.0710256,0.5,0.5
A019_2,-1.0111126,0.2614863,0.5,0.5
A019_3,-0.3791545,-0.54267967,0.5,0.5
A019_4,-0.9584376,-0.8101615,0.5,0.5
A020_1,0.32914355,-1.221082,0.5,0.5
A020_2,0.609449,-0.12688,0.5,0.5
A020_3,-0.3698324,-0.4757914,0.5,0.5
A020_4,-1.788324,-1.2678943,0.5,0.5
A021_1,1.363683,0.5568825,0.5,0.5
A021_2,-0.057838596,0.5312017,0.5,0.5
A021_3,0.12345493,-0.63249505,0.5,0.5
A021_4,0.81465757,-1.0044788,0.5,0.5
A022_1,0.14463842,-0.8156706,0.5,0.5
A022_2,1.0855604,-1.1365894,0.5,0.5
A022_3,0.42275697,-0.04772476,0.5,0.5
A022_4,0.41303825,0.4786157,0.5,0.5
A023_1,0.53429997,0.51287585,0.5,0.5
A023_2,0.33765012,0.20298967,0.5,0.5
A023_3,0.35129574,-0.15669782,0.5,0.5
A023_4,-0.30893475,0.8517562,0.5,0.5
A024_1,0.27383596,-0.24266782,0.5,0.5
A024_2,0.63620675,-0.82409877,0.5,0.5
A024_3,-0.24512525,0.18868272,0.5,0.5
A024_4,-1.5597644,-0.7756032,0.5,0.5
A025_1,1.0513767,0.2900573,0.5,0.5
A025_2,1.0906435,1.5575191,0.5,0.5
A025_3,0.0879005,0.17857912,0.5,0.5
A025_4,-0.4343369,-0.5984589,0.5,0.5
A026_1,0.35383162,1.3349255,0.5,0.5
A026_2,-0.2821843,0.12875262,0.5,0.5
A026_3,0.829048,0.6117219,0.5,0.5
A026_4,-0.6521325,-0.31878966,0.5,0.5
A027_1,0.7528962,0.66703284,0.5,0.5
A027_2,0.36259678,1.5764816,0.5,0.5
A027_3,-0.68810093,-0.61159766,0.5,0.5
A027_4,-0.33735436,0.5036031,0.5,0.5
A028_1,0.92599374,1.6086979,0.5,0.5
A028_2,-0.442938,0.4939084,0.5,0.5
A028_3,0.31851166,0.1658167,0.5,0.5
A028_4,-1.4720452,-0.17729,0.5,0.5
A029_1,1.9617424,2.0412664,0.5,0.5
A029_2,0.29214627,0.86879385,0.5,0.5
A029_3,1.165856,0.73263997,0.5,0.5
A029_4,-0.15827009,1.0249574,0.5,0.5
A030_1,1.0183303,-0.42306933,0.5,0.5
A030_2,1.2175654,1.6407919,0.5,0.5
A030_3,0.5914267,0.51873785,0.5,0.5
A030_4,1.29665,-0.049976807,0.5,0.5
A031_1,1.5057217,1.5830449,0.5,0.5
A031_2,0.014832711,-0.19844455,0.5,0.5
A031_3,-0.25440282,-0.7022645,0.5,0.5
A031_4,-0.9113997,-0.7971226,0.5,0.5
A032_1,1.076156,-1.0909967,0.5,0.5
A032_2,-0.7269518,-0.61341566,0.5,0.5
A032_3,0.35878578,0.50111467,0.5,0.5
A032_4,1.1151068,1.3472474,0.5,0.5
A033_1,0.1392698,-0.8757987,0.5,0.5
