variable_pair,rs,ci_lower,ci_upper,n_participants,method
Age_RAVLT,-0.18113955821705952,-0.3789006546280802,0.035916264369808465,100,spearman_rank
Age_REMEMVR,-0.18793656385232796,-0.3755068925276028,0.00041188911019440034,100,spearman_rank
Age_RAVLT_Pct_Ret,-0.15537956208012257,-0.33532558776744636,0.033109798035809934,100,spearman_rank
