UID,theta_all,theta_all_z
A010,0.97076143875,1.4249492714517151
A011,0.07180207999999996,0.09694200389847908
A012,0.3549183125,0.5151816169162369
A013,-0.16506315,-0.2529723095895763
A014,0.6169010075,0.902201251949524
A015,1.559498015,2.294673185357639
A016,0.11325782150000002,0.15818339980580923
A017,0.3353329775,0.48624875475255597
A018,-0.10452744725000002,-0.16354462588402255
A019,-1.13018943,-1.6787261008719894
A020,-0.91300866125,-1.357891085956696
A021,0.79059709,1.1587975681904183
A022,0.1149351101,0.1606612108758018
A023,0.13347564975,0.18805062638152129
A024,-0.04513158249999999,-0.07580079265858189
A025,0.346842675,0.5032517057520238
A026,0.406870533,0.5919291647536192
A027,-0.05787567499999999,-0.09462728052328778
A028,0.12858346,0.1808235326547445
A029,1.023111325,1.5022842796686091
A030,0.435349075,0.6339997104097747
A031,0.4143596645,0.6029926471712129
A032,0.7238456824999999,1.0601875994342442
A033,0.375180925,0.5451150019994422
A034,0.609261065,0.8909149807016261
A035,-0.20200146749999998,-0.3075402426265033
A036,-0.05789503249999997,-0.09465587681124166
A037,0.6399919475,0.9363128453560104
A038,0.496686178,0.7246112800673016
A039,1.19202671,1.7518182065343022
A040,-0.9150132424999999,-1.3608523972134168
A041,0.109736675,0.15298170954405838
A042,-0.8263051475000001,-1.2298064342294948
A043,0.4509235725,0.657007475629828
A044,-0.891856265,-1.3266432484735582
A045,-1.07199485,-1.5927568916747352
A046,-1.212762325,-1.8007087061984286
A047,-1.026090325,-1.5249434335687468
A048,0.31380509999999995,0.45444622942510504
A049,0.4953288965,0.722606206446819
A050,-0.79420681,-1.1823884669304512
A051,-0.03917359749999999,-0.06699922971476302
A052,0.063437571,0.08458535102714103
A053,0.45830460749999996,0.6679112701414003
A054,1.0196071075,1.4971075981403605
A055,0.10256029849999998,0.1423802512534966
A056,-0.07194886249999999,-0.11541720288821734
A057,-0.51205133,-0.7655681464423292
A058,-0.252483834,-0.3821164166690165
A059,0.98987943,1.453191739894696
A060,0.235626169,0.338954702998474
A061,0.86492765,1.2686040048446403
A062,0.09019198499999995,0.12410889109076793
A063,0.293277165,0.4241208909072804
A064,0.30928356749999997,0.44776669718370593
A065,-1.9536738750000002,-2.895236410300973
A066,-0.5499262325000001,-0.8215196700438073
A067,-0.82512955,-1.2280697572501391
A068,0.37390792500000003,0.5432344350581891
A069,-1.1793972825,-1.751419471383816
A070,-0.21069506424999995,-0.320383047535093
A071,0.1962569325,0.28079564198961937
A072,0.07787222499999996,0.10590925764208658
A073,0.33634695950000004,0.48774668171895474
A074,-0.2549865725,-0.38581364155959086
A075,-0.291115765,-0.43918627708957264
A076,-1.220826245,-1.812621307430879
A077,0.48626458250000004,0.7092157514165466
A078,-0.49878498,-0.7459701423252105
A079,-0.4405461125,-0.6599355084552063
A080,0.05354647499999998,0.0699735143025848
A081,0.3615143925,0.5249258195791279
A082,0.4909304,0.7161084318127914
A083,0.7502973374999999,1.09926388217928
A084,-0.0109190895,-0.02525964315846362
A085,0.33935422249999997,0.49218922640195023
A086,-0.43033625999999997,-0.6448527817571941
A087,0.5806797050000001,0.8486925449183965
A088,1.55795242,2.2923899215229446
A089,0.865113,1.2688778171640127
A090,-0.752913545,-1.121387092967057
A091,-0.373098455,-0.5602969892411791
A092,-0.7275689125,-1.0839461832909323
A093,0.48446266,0.7065538222066485
A094,-0.93752057,-1.3941018363591002
A095,-0.013461817500000028,-0.02901594340779471
A096,-1.325941315,-1.9679048311304057
A097,0.142418974,0.20126234667174636
A098,0.35445072499999997,0.514490863110547
A099,0.7514367825,1.1009471520915943
A100,0.2622341625,0.3782619401934272
A101,-1.1029622374999999,-1.6385041384850039
A102,0.01133648850000002,0.007617893562100546
A103,-0.4859907875,-0.7270696431456918
A104,0.05959064250000001,0.07890239221923524
A105,0.28618012000000004,0.4136366268007721
A106,0.6701173435000001,0.9808162419072722
A107,-1.15600219,-1.7168585620805505
A108,-0.7731268499999999,-1.1512476374733136
A109,-0.720264555,-1.0731556622841816
