variable_pair,r,p_uncorrected,p_bonferroni,ci_lower,ci_upper,n_bootstrap,interpretation
Age_RAVLT,-0.20898564274288325,0.03691686028738528,0.11075058086215583,-0.3997970974409733,-0.00040722851508824515,1000,Significant decline
Age_REMEMVR,-0.19328923000638867,0.054004170721372896,0.1620125121641187,-0.37481491368790926,-0.015329019666512437,1000,Age-invariant
Age_RAVLT_Pct_Ret,-0.18816886156122872,0.060818107710179675,0.18245432313053903,-0.36580126505007304,-0.001258203935948833,1000,Non-significant
