UID,outlier_type,distance_value,threshold
A017,cooks_distance_RAVLT,0.04371691678921817,0.04
A038,cooks_distance_RAVLT,0.050013520531032744,0.04
A040,cooks_distance_RAVLT,0.07577049471224297,0.04
A041,cooks_distance_RAVLT,0.0517441280965065,0.04
A045,cooks_distance_RAVLT,0.05613460636253665,0.04
A047,cooks_distance_RAVLT,0.08567229056234847,0.04
A061,cooks_distance_RAVLT,0.05765634047670352,0.04
A064,cooks_distance_RAVLT,0.06429334558202607,0.04
A076,cooks_distance_RAVLT,0.06594066080517881,0.04
A077,cooks_distance_RAVLT,0.08434612660161021,0.04
A082,cooks_distance_RAVLT,0.05530675189395168,0.04
A097,cooks_distance_RAVLT,0.10080845506963249,0.04
A101,cooks_distance_RAVLT,0.12100702511962469,0.04
A103,cooks_distance_RAVLT,0.0584089464632542,0.04
A108,cooks_distance_RAVLT,0.051467655761460555,0.04
