variable_pair,r,ci_lower,ci_upper,n_participants,method
Age_RAVLT,-0.2742759596160102,-0.45362100256010973,-0.022560735856743924,85,outliers_excluded
Age_REMEMVR,-0.17550496262470824,-0.3638478582557486,0.05167714507856684,85,outliers_excluded
