model,R2,R2_adj,F_stat,delta_R2,F_change,p_change,AIC
Model_1_Age_Only,0.0373607264364626,0.02753787670622254,3.8034508785618053,0.0373607264364626,3.8034508785618053,0.054004170721372945,204.935625447102
Model_2_Age_Plus_Cognitive,0.2954969846938521,0.25004517725474584,6.501325279302518,0.2581362582573895,6.81520774116344,1.860934902009337e-05,183.71701103658955
