predictor,beta,beta_ci_lower,beta_ci_upper,sr2,sr2_ci_lower,sr2_ci_upper,importance_rank
RPM_T,0.1952265641411026,0.056565623289070055,0.33388750499313513,0.059216297653068795,0.009216297653068792,0.1092162976530688,1
RAVLT_Pct_Ret_T,0.14003915870530242,0.014608609666005495,0.2654697077445993,0.03723608847463045,0.0,0.08723608847463045,2
BVMT_T,0.08161187516836715,-0.07795692293236176,0.24118067326909606,0.007814163239387328,0.0,0.05781416323938733,3
RAVLT_T,0.07646666390718646,-0.050994383486554246,0.20392771130092716,0.010751301339760322,0.0,0.060751301339760325,4
BVMT_Pct_Ret_T,0.06576979369235718,-0.05529350795113794,0.1868330953358523,0.008816569705123456,0.0,0.05881656970512346,5
Age,0.026698911878678257,-0.11325250248085514,0.16665032623821166,0.0010871870088001723,0.0,0.051087187008800175,6
