Variable1,Variable2,correlation,p_value,significance_flag
theta_all,theta_all,1.0,0.0,strong
theta_all,Age,-0.1932892300063887,0.054004170721372896,negligible
theta_all,RAVLT_T,0.27863611684151157,0.004998194392044928,weak
theta_all,BVMT_T,0.36353804043827953,0.00020103021466954962,moderate
theta_all,RPM_T,0.45690941036910415,1.766724844573676e-06,strong
theta_all,RAVLT_Pct_Ret_T,0.36528309289159977,0.0001863010181608887,moderate
theta_all,BVMT_Pct_Ret_T,0.19547922242637028,0.0512879309199602,negligible
Age,theta_all,-0.1932892300063887,0.054004170721372896,negligible
Age,Age,1.0,0.0,strong
Age,RAVLT_T,-0.18798371102785136,0.061077065459240375,negligible
Age,BVMT_T,-0.5454815482953167,4.3941197761427484e-09,strong
Age,RPM_T,-0.29336395032340845,0.0030542580061364093,weak
Age,RAVLT_Pct_Ret_T,-0.18816886156122778,0.060818107710179675,negligible
Age,BVMT_Pct_Ret_T,-0.21847993433387938,0.028978010905786472,weak
RAVLT_T,theta_all,0.27863611684151157,0.004998194392044928,weak
RAVLT_T,Age,-0.18798371102785136,0.061077065459240375,negligible
RAVLT_T,RAVLT_T,1.0,0.0,strong
RAVLT_T,BVMT_T,0.3807333432863996,9.317661889602414e-05,moderate
RAVLT_T,RPM_T,0.28211817978691145,0.004459056829611546,weak
RAVLT_T,RAVLT_Pct_Ret_T,0.19401646021257882,0.05308937472044059,negligible
RAVLT_T,BVMT_Pct_Ret_T,0.04413827854202446,0.6628032663908336,negligible
BVMT_T,theta_all,0.36353804043827953,0.00020103021466954962,moderate
BVMT_T,Age,-0.5454815482953167,4.3941197761427484e-09,strong
BVMT_T,RAVLT_T,0.3807333432863996,9.317661889602414e-05,moderate
BVMT_T,BVMT_T,1.0,0.0,strong
BVMT_T,RPM_T,0.4881396791745487,2.5804911595471283e-07,strong
BVMT_T,RAVLT_Pct_Ret_T,0.26962237298294556,0.006672582180859715,weak
BVMT_T,BVMT_Pct_Ret_T,0.23775169268872887,0.01722420906259438,weak
RPM_T,theta_all,0.45690941036910415,1.766724844573676e-06,strong
RPM_T,Age,-0.29336395032340845,0.0030542580061364093,weak
RPM_T,RAVLT_T,0.28211817978691145,0.004459056829611546,weak
RPM_T,BVMT_T,0.4881396791745487,2.5804911595471283e-07,strong
RPM_T,RPM_T,1.0,0.0,strong
RPM_T,RAVLT_Pct_Ret_T,0.34152709131688475,0.000506094967292057,moderate
RPM_T,BVMT_Pct_Ret_T,0.16893037177641315,0.09292555114753451,negligible
RAVLT_Pct_Ret_T,theta_all,0.36528309289159977,0.0001863010181608887,moderate
RAVLT_Pct_Ret_T,Age,-0.18816886156122778,0.060818107710179675,negligible
RAVLT_Pct_Ret_T,RAVLT_T,0.19401646021257882,0.05308937472044059,negligible
RAVLT_Pct_Ret_T,BVMT_T,0.26962237298294556,0.006672582180859715,weak
RAVLT_Pct_Ret_T,RPM_T,0.34152709131688475,0.000506094967292057,moderate
RAVLT_Pct_Ret_T,RAVLT_Pct_Ret_T,1.0,0.0,strong
RAVLT_Pct_Ret_T,BVMT_Pct_Ret_T,0.11401394970530172,0.2586900338009752,negligible
BVMT_Pct_Ret_T,theta_all,0.19547922242637028,0.0512879309199602,negligible
BVMT_Pct_Ret_T,Age,-0.21847993433387938,0.028978010905786472,weak
BVMT_Pct_Ret_T,RAVLT_T,0.04413827854202446,0.6628032663908336,negligible
BVMT_Pct_Ret_T,BVMT_T,0.23775169268872887,0.01722420906259438,weak
BVMT_Pct_Ret_T,RPM_T,0.16893037177641315,0.09292555114753451,negligible
BVMT_Pct_Ret_T,RAVLT_Pct_Ret_T,0.11401394970530172,0.2586900338009752,negligible
BVMT_Pct_Ret_T,BVMT_Pct_Ret_T,1.0,0.0,strong
