composite_ID,UID,test_num,TSVR_hours,theta_what_acc,theta_where_acc,theta_What_conf,theta_Where_conf
A029_2,A029,2,28.43,-0.0183022,0.4782135,-0.28048995,-0.15864953
A029_3,A029,3,93.26,1.1595125,1.4485718,-0.26848072,-0.47460964
A029_4,A029,4,143.14,1.0474995,0.75251937,-0.5393232,-0.4180649
A030_1,A030,1,1.0,0.2812619,0.21859212,-0.77442324,-0.6236615
A030_2,A030,2,32.95,0.8832621,1.2273304,-0.60881066,-0.2575324
A030_3,A030,3,71.93,-0.18143387,-0.03165805,-0.6840649,-0.6491758
A030_4,A030,4,150.46,-0.0007534161,0.53584546,-0.4550996,-0.5578966
A031_1,A031,1,1.0,2.098076,2.1835008,0.2638275,-0.0035324944
A031_2,A031,2,32.41,-0.3397794,0.23107058,-0.4018008,-0.19972831
A031_3,A031,3,71.56,0.16093041,-0.090858296,-0.7150441,-0.94005686
A031_4,A031,4,143.85,-0.412024,-0.6049658,-1.270624,-1.1272513
A032_1,A032,1,1.0,0.9237079,0.7973815,-0.32446685,-0.3360491
A032_2,A032,2,57.18,-0.077504,-0.19438347,-0.7612248,-0.5707413
A032_3,A032,3,80.16,0.7994235,0.46258765,-0.6971033,-0.49220014
A032_4,A032,4,144.51,1.3869435,1.7630539,-0.60140634,-0.48205373
A033_1,A033,1,1.0,0.35103184,0.22796804,-0.5664332,-0.3546501
A033_2,A033,2,29.16,0.24968037,0.45576963,-0.58645725,-0.6500345
A033_3,A033,3,72.6,0.9273771,0.8525857,-0.24209799,-0.36226928
A033_4,A033,4,168.33,-0.04748927,-0.5992665,-0.44846633,-0.85558045
A034_1,A034,1,1.0,1.638878,1.6937131,-0.035272777,-0.035111323
A034_2,A034,2,26.08,0.35502133,0.952347,0.07378795,-0.23034386
A034_3,A034,3,74.28,0.20019667,-0.020196838,-0.32593602,-0.38596812
A034_4,A034,4,145.38,-0.25343332,-0.0680759,-0.5804641,-0.90760684
A035_1,A035,1,1.0,-0.060081527,-0.11286555,-0.71035606,-0.48868048
A035_2,A035,2,44.76,0.87888414,0.78530264,-0.21037312,-0.544072
A035_3,A035,3,79.98,-0.35612592,-0.4592081,-0.7377237,-0.6989289
A035_4,A035,4,152.47,-0.88171935,-0.9852635,-1.0032879,-0.9028312
A036_1,A036,1,1.0,0.97793245,1.2830837,-1.4230407,-1.3059089
A036_2,A036,2,21.63,0.026050432,-0.28614074,-2.1549456,-2.2476616
A036_3,A036,3,71.47,-0.35021576,-0.31800184,-1.8325033,-1.8617111
A036_4,A036,4,143.85,-0.5848764,-1.1686301,-2.2474222,-2.2146947
A037_1,A037,1,1.0,1.2614937,1.2661066,-0.39597678,-0.110464536
A037_2,A037,2,23.7,1.157818,1.2943444,-0.5082488,-0.50463635
A037_3,A037,3,72.08,0.059776444,0.3974338,-0.68401986,-0.9093372
