composite_ID,UID,test_num,TSVR_hours,theta_what_acc,theta_where_acc,theta_What_conf,theta_Where_conf
A093_4,A093,4,140.95,0.58903307,0.5191052,-2.3151166,-2.109843
A094_1,A094,1,1.0,-0.4338472,-0.71144027,-0.8733607,-1.0246629
A094_2,A094,2,22.98,-0.10413395,-0.15374868,-0.84126997,-1.0448214
A094_3,A094,3,76.21,-1.5876961,-1.4280683,-1.1084818,-1.297069
A094_4,A094,4,149.99,-0.9550737,-1.1847831,-1.2153608,-0.9864897
A095_1,A095,1,1.0,1.5629785,1.4802225,-0.24935532,-0.24886794
A095_2,A095,2,29.71,-0.31464836,-0.3401414,-0.9429458,-0.7041991
A095_3,A095,3,78.76,-0.52469057,-0.40075338,-0.5604514,-0.6586784
A095_4,A095,4,148.79,-0.44003212,-0.9582339,-1.0292403,-1.0800077
A096_1,A096,1,1.0,-0.5876299,-0.4121188,-0.7722609,-0.21997853
A096_2,A096,2,24.49,-1.6634033,-0.88762873,-0.9537298,-0.8806961
A096_3,A096,3,71.19,-2.0487726,-2.1615133,-0.642855,-0.8012751
A096_4,A096,4,143.66,-1.6537123,-1.2287564,-0.8880069,-0.45656487
A097_1,A097,1,1.0,0.30110675,0.14475676,-1.0316466,-0.858112
A097_2,A097,2,24.37,-0.46951467,-0.57904583,-2.4364095,-2.0705633
A097_3,A097,3,70.83,0.49897698,0.8254244,-1.826925,-1.7153888
A097_4,A097,4,144.85,0.21680588,0.19003011,-2.2625446,-2.2418253
A098_1,A098,1,1.0,0.63542306,0.8269297,-0.32570514,-0.352764
A098_2,A098,2,25.77,0.2751316,0.446704,-0.47275475,-0.61451584
A098_3,A098,3,78.84,1.2736149,1.1578248,-0.38767546,-0.14431314
A098_4,A098,4,146.29,-0.28662166,-0.6112854,-0.56587017,-0.5530048
A099_1,A099,1,1.0,0.8915915,1.0796213,-0.1933334,-0.34824362
A099_2,A099,2,28.75,0.962919,1.3544149,-0.42159227,-0.41765174
A099_3,A099,3,78.57,-0.6954294,-0.12090313,-0.41357124,-0.23385498
A099_4,A099,4,143.51,0.024082785,1.0466882,0.018703647,0.05186575
A100_1,A100,1,1.0,0.07399175,-0.19057651,-1.2776049,-0.9276766
A100_2,A100,2,31.14,0.9113723,0.9044729,-1.4885942,-1.2011194
A100_3,A100,3,75.34,0.36577296,0.22922672,-1.2015793,-1.00375
A100_4,A100,4,146.8,0.07635781,0.06803087,-2.177189,-2.254093
A101_1,A101,1,1.0,-1.1400971,-0.9462252,-1.1531101,-1.1271902
A101_2,A101,2,29.12,-0.97317004,-0.55277234,-1.1507939,-0.9139338
A101_3,A101,3,75.21,-1.268504,-1.5930067,-2.0616903,-2.257844
A101_4,A101,4,150.22,-1.4687408,-0.9949761,-2.4006252,-2.1047175
A102_1,A102,1,1.0,-0.1090957,-0.024540316,-0.4659688,-0.6318408
A102_2,A102,2,29.13,0.7893604,1.2355605,-0.5725646,-0.42629144
A102_3,A102,3,75.27,-0.54814076,-0.42207742,-0.70983475,-0.7458047
A102_4,A102,4,150.41,-0.016238477,-0.7300058,-0.7002248,-0.6005884
A103_1,A103,1,1.0,1.5837513,1.5713539,-1.6476277,-1.7276977
A103_2,A103,2,27.26,-0.8997795,-1.0943544,-2.0595725,-2.1003845
A103_3,A103,3,80.24,-1.8014679,-1.4175515,-2.1543787,-2.2404468
A103_4,A103,4,149.72,-0.7135607,-1.0943214,-2.3034658,-2.2445917
A104_1,A104,1,1.0,1.9797188,1.6869882,-0.23795481,-0.096845455
A104_2,A104,2,22.6,-0.25339428,0.20594147,-0.18667741,-0.2953946
A104_3,A104,3,72.62,0.30562896,0.2628214,-0.5396037,-0.37600604
A104_4,A104,4,145.78,-1.6902736,-1.721655,-1.1808013,-1.406939
A105_1,A105,1,1.0,0.6786545,0.7042392,0.14666553,0.107473895
A105_2,A105,2,22.77,0.4023,0.5544501,-0.09143283,-0.20604235
A105_3,A105,3,69.46,-0.07094553,-0.32355082,-0.7008655,-0.58831054
A105_4,A105,4,146.2,0.012376063,0.4385651,-0.5656953,-0.82229865
A106_1,A106,1,1.0,1.5945877,1.314505,-0.2363908,-0.06138464
A106_2,A106,2,22.64,0.07416145,0.06214906,-0.50482,-0.7756045
A106_3,A106,3,66.08,0.610385,0.39107776,-0.4244297,-0.5837823
A106_4,A106,4,147.13,0.97847015,1.1643393,-0.25632027,-0.6719219
A107_1,A107,1,1.0,-0.6293192,-0.7827122,-2.2529342,-1.8828845
A107_2,A107,2,26.22,-1.6425781,-1.5480853,-2.5128634,-2.361064
A107_3,A107,3,71.45,-0.8989691,-1.1850315,-1.9072479,-1.4767938
A107_4,A107,4,145.95,-1.2341427,-1.3145429,-2.1943111,-2.3700135
A108_1,A108,1,1.0,-0.6797666,-0.46580803,-0.7291451,-0.9310122
A108_2,A108,2,27.61,-1.2300881,-0.9090442,-1.0643289,-1.1488962
A108_3,A108,3,68.96,-0.64672476,-0.15494189,-1.0438112,-1.0102834
A108_4,A108,4,152.12,-1.2409853,-1.056874,-1.1844062,-0.9659984
A109_1,A109,1,1.0,-0.29406714,-0.24901082,-1.0555787,-1.5084882
A109_2,A109,2,24.65,-0.85136366,-1.060476,-1.3236896,-2.0305598
A109_3,A109,3,71.17,-0.2927042,-0.09701187,-0.97737586,-1.1609657
A109_4,A109,4,149.87,-1.3304558,-1.2608058,-2.326117,-2.159722
