composite_ID,UID,test_num,TSVR_hours,theta_what_acc,theta_where_acc,theta_when_acc,theta_What_conf,theta_Where_conf,theta_When_conf
A010_1,A010,1,1.0,1.9723079,2.4439983,-0.24154915,-0.26977536,-0.35840303,0.2531799
A010_2,A010,2,21.9,0.5321417,0.59148264,0.68599474,-0.5346923,-0.60747373,-0.58785975
A010_3,A010,3,80.88,-0.24620515,-0.091231495,-0.076383084,-0.7171626,-0.6976981,-0.9595362
A010_4,A010,4,145.31,0.76564074,0.47084022,1.1705245,-0.6071539,-0.8171049,-0.72395766
A011_1,A011,1,1.0,1.1758701,0.9860436,0.22548166,-0.30443364,0.1822105,0.3756417
A011_2,A011,2,24.57,0.58703774,0.20441371,1.3155032,-0.4066074,-0.41067916,-0.13075611
A011_3,A011,3,72.55,-0.32275462,-0.74633425,-0.45838392,-0.5674898,-0.40114135,-1.1300645
A011_4,A011,4,148.85,-0.6501544,-0.26116142,0.09927937,-0.9975038,-0.8926102,-1.1402402
A012_1,A012,1,1.0,1.317989,1.4285018,0.7508862,-0.33598834,-0.13544692,-0.25392818
A012_2,A012,2,25.6,-0.16549101,-0.31520778,-0.15484987,-0.56394285,-0.6886631,-0.67918605
A012_3,A012,3,166.33,0.5725235,1.0647037,-0.36329967,-0.29332557,-0.65423065,-0.27526832
A012_4,A012,4,166.87,-0.5827313,-0.45238903,-0.50624204,-0.94255686,-0.75222445,-0.5091232
A013_1,A013,1,1.0,0.085204296,0.09202722,-0.21120891,-0.49705088,-0.69894737,-0.6384713
A013_2,A013,2,24.77,-0.30207354,-0.6685766,-0.34614083,-0.97502846,-0.72977465,-0.16366316
A013_3,A013,3,79.66,0.38999763,0.24629961,0.43057328,-0.58987004,-0.72450304,-0.08454856
A013_4,A013,4,147.13,-0.5718052,-0.42889243,-0.031026013,-1.2679931,-1.3667862,-1.0340359
A014_1,A014,1,1.0,0.990247,0.840902,0.37932342,-0.5086821,-0.26887542,-0.025188105
A014_2,A014,2,25.66,2.0772517,1.7318953,0.92721575,-0.2328896,-0.3245419,-0.1459619
A014_3,A014,3,70.56,0.39994225,0.22653097,-0.27616444,-0.53111595,-0.5947845,-0.27133006
A014_4,A014,4,148.87,-0.48348227,-0.64632875,-0.40244493,-0.9879353,-0.8250754,-0.75024897
A015_1,A015,1,1.0,1.7676418,1.7240337,1.6497607,-0.14761224,0.1364241,-0.38100857
A015_2,A015,2,23.69,1.9235327,1.980908,-0.31009868,-0.2955845,-0.3898742,-0.17876375
A015_3,A015,3,70.59,1.7069992,1.7067914,1.2729087,-0.26376593,-0.3012806,-0.62155294
A015_4,A015,4,146.54,0.48828286,0.8411193,-0.07569087,-0.48598427,-0.62505066,-0.36283612
A016_1,A016,1,1.0,1.0766052,1.42478,-0.4965228,-0.29475248,-0.35686523,-0.48393413
A016_2,A016,2,32.85,-0.39004326,0.5182861,-0.30227306,-0.67557615,-0.5745343,-0.5529809
A016_3,A016,3,80.64,0.09681583,0.08904186,0.80358815,-0.6243887,-0.94173694,-0.9073644
A016_4,A016,4,150.8,-1.1568888,-1.0289922,-0.51415277,-1.6620972,-0.9995266,-1.488098
A017_1,A017,1,1.0,-0.40713716,0.014488589,-0.18879388,-0.36066896,-0.04159507,0.01883186
A017_2,A017,2,20.61,1.0619187,0.9758614,0.13481109,-0.07389383,0.13028155,0.1813509
A017_3,A017,3,61.28,0.66992927,0.13619477,1.3445141,0.34846318,0.20525199,-0.13713914
A017_4,A017,4,140.49,0.20140322,-0.036762077,1.555736,0.0537432,-0.077853166,-0.20532954
A018_1,A018,1,1.0,0.32558995,0.33654568,0.23296411,-0.3622402,-0.17650345,-0.46659443
A018_2,A018,2,34.03,-0.36246425,0.034030903,1.0015876,-0.5451845,-0.3196287,-0.5171451
A018_3,A018,3,83.64,-0.91410375,-0.6435525,-0.03338013,-0.8140488,-0.8628611,-0.45024264
A018_4,A018,4,150.87,0.16954863,-0.09666681,0.828471,-0.70174134,-1.062314,-0.95619863
A019_1,A019,1,1.0,-0.015733648,-0.6979575,-0.4402759,-1.7392304,-2.5336318,-2.1217449
A019_2,A019,2,28.69,-1.1935377,-1.2111,-0.45907453,-2.012755,-2.4748008,-2.2057974
A019_3,A019,3,83.68,-0.94285613,-1.4745452,-0.39007965,-1.9219693,-2.7013297,-1.9657898
