UID,test_num,TSVR_hours,TSVR_hours_c,domain,measure,theta
A035,4,152.47,87.51674999999999,what,accuracy,-0.88171935
A036,1,1.0,-63.95325000000001,what,accuracy,0.97793245
A036,2,21.63,-43.323250000000016,what,accuracy,0.026050432
A036,3,71.47,6.516749999999988,what,accuracy,-0.35021576
A036,4,143.85,78.89674999999998,what,accuracy,-0.5848764
A037,1,1.0,-63.95325000000001,what,accuracy,1.2614937
A037,2,23.7,-41.25325000000001,what,accuracy,1.157818
A037,3,72.08,7.126749999999987,what,accuracy,0.059776444
A037,4,143.66,78.70674999999999,what,accuracy,-0.13570116
A038,1,1.0,-63.95325000000001,what,accuracy,1.2025418
A038,2,71.85,6.896749999999983,what,accuracy,0.007853324
A038,3,72.86,7.906749999999988,what,accuracy,0.70266676
A038,4,152.89,87.93674999999998,what,accuracy,0.056318834
A039,1,1.0,-63.95325000000001,what,accuracy,2.252001
A039,2,28.65,-36.30325000000001,what,accuracy,0.92305565
A039,3,98.84,33.88674999999999,what,accuracy,0.31220362
A039,4,246.24,181.28674999999998,what,accuracy,0.6324969
A040,1,1.0,-63.95325000000001,what,accuracy,-0.36999494
A040,2,26.26,-38.693250000000006,what,accuracy,0.056224108
A040,3,71.28,6.32674999999999,what,accuracy,-1.5265014
A040,4,143.53,78.57674999999999,what,accuracy,-1.7589025
A041,1,1.0,-63.95325000000001,what,accuracy,1.2257649
A041,2,31.78,-33.17325000000001,what,accuracy,-1.0088389
A041,3,75.74,10.786749999999984,what,accuracy,0.059980888
A041,4,141.84,76.88674999999999,what,accuracy,0.045220107
A042,1,1.0,-63.95325000000001,what,accuracy,-0.8475921
A042,2,28.93,-36.02325000000001,what,accuracy,-0.4416498
A042,3,72.17,7.2167499999999905,what,accuracy,0.056583792
A042,4,146.02,81.06675,what,accuracy,-1.0751622
A043,1,1.0,-63.95325000000001,what,accuracy,0.78068006
A043,2,25.62,-39.33325000000001,what,accuracy,0.43919662
A043,3,64.94,-0.013250000000013529,what,accuracy,0.38608864
A043,4,149.33,84.37675,what,accuracy,-0.026184201
A044,1,1.0,-63.95325000000001,what,accuracy,-0.12027291
A044,2,47.66,-17.293250000000015,what,accuracy,-0.47558594
A044,3,91.63,26.676749999999984,what,accuracy,-0.9757199
A044,4,155.27,90.31675,what,accuracy,-1.5148207
A045,1,1.0,-63.95325000000001,what,accuracy,-0.90017945
A045,2,24.66,-40.293250000000015,what,accuracy,-0.808676
A045,3,72.23,7.276749999999993,what,accuracy,-0.65163666
A045,4,151.52,86.56675,what,accuracy,-1.5065612
A046,1,1.0,-63.95325000000001,what,accuracy,-0.55372006
A046,2,24.32,-40.63325000000001,what,accuracy,-1.0450114
A046,3,73.05,8.096749999999986,what,accuracy,-1.613356
A046,4,147.94,82.98674999999999,what,accuracy,-1.2604105
A047,1,1.0,-63.95325000000001,what,accuracy,-0.4363785
A047,2,23.46,-41.49325000000001,what,accuracy,-0.48320502
A047,3,76.85,11.896749999999983,what,accuracy,-1.4562982
A047,4,144.22,79.26674999999999,what,accuracy,-1.3712326
A048,1,1.0,-63.95325000000001,what,accuracy,1.0746682
A048,2,23.91,-41.043250000000015,what,accuracy,-0.534043
A048,3,81.15,16.196749999999994,what,accuracy,0.23268522
A048,4,146.3,81.34675,what,accuracy,0.47788984
A049,1,1.0,-63.95325000000001,what,accuracy,2.0709105
A049,2,27.12,-37.83325000000001,what,accuracy,-0.3073396
