comparison,description,beta,se,z,p_uncorrected,alpha_corrected,p_corrected,sig_uncorrected,sig_corrected
where-what_early,Spatial consolidation advantage (Early),0.05166044528947755,0.13439958271695981,0.38437950658129943,0.7006971874451504,0.008333333333333333,1.0,False,False
when-what_early,Temporal consolidation (Early),0.2988295021998518,0.13439958271696,2.223440699434123,0.02618609788309878,0.008333333333333333,0.15711658729859268,True,False
where-what_late,Spatial decay comparison (Late),-0.07561322718024441,0.054069171099195026,-1.398453603838771,0.16197689587001385,0.008333333333333333,0.9718613752200831,False,False
when-what_late,Temporal decay comparison (Late),0.017960941911936,0.054069171099195026,0.33218452487434935,0.739749928300987,0.008333333333333333,1.0,False,False
where_slope_change-what_slope_change,Spatial consolidation benefit,-0.12727367246972193,0.1448679505544513,-0.8785495479338873,0.37964556137119176,0.008333333333333333,1.0,False,False
when_slope_change-what_slope_change,Temporal consolidation benefit,-0.28086856028791585,0.1448679505544515,-1.9387901824589269,0.05252689205716066,0.008333333333333333,0.31516135234296394,False,False
