domain,early_slope,late_slope,consolidation_benefit,benefit_se,benefit_CI_lower,benefit_CI_upper,rank
when,-0.2083757336108919,-0.0132095573259058,-0.1951661762849861,0.10243711021364897,-0.39594291230373807,0.005610559733765896,1
where,-0.4555447905212662,-0.1067837264180862,-0.34876106410318,0.1024371102136487,-0.5495378001219314,-0.14798432808442855,2
what,-0.5072052358107437,-0.0311704992378418,-0.4760347365729019,0.1024371102136513,-0.6768114725916585,-0.27525800055414534,3
