composite_ID,UID,test,TSVR_hours,domain,theta,Segment,Days_within
A010_1,A010,1,1.0,what,1.9723079,Early,0.041666666666666664
A010_2,A010,2,21.9,what,0.5321417,Early,0.9125
A010_3,A010,3,80.88,what,-0.24620515,Late,0.8166666666666664
A010_4,A010,4,145.31,what,0.76564074,Late,3.50125
A011_1,A011,1,1.0,what,1.1758701,Early,0.041666666666666664
A011_2,A011,2,24.57,what,0.58703774,Early,1.02375
A011_3,A011,3,72.55,what,-0.32275462,Late,0.4695833333333332
A011_4,A011,4,148.85,what,-0.6501544,Late,3.6487499999999997
A012_1,A012,1,1.0,what,1.317989,Early,0.041666666666666664
A012_2,A012,2,25.6,what,-0.16549101,Early,1.0666666666666667
A012_3,A012,3,166.33,what,0.5725235,Late,4.377083333333334
A012_4,A012,4,166.87,what,-0.5827313,Late,4.399583333333333
A013_1,A013,1,1.0,what,0.085204296,Early,0.041666666666666664
A013_2,A013,2,24.77,what,-0.30207354,Early,1.0320833333333332
A013_3,A013,3,79.66,what,0.38999763,Late,0.7658333333333331
A013_4,A013,4,147.13,what,-0.5718052,Late,3.577083333333333
A014_1,A014,1,1.0,what,0.990247,Early,0.041666666666666664
A014_2,A014,2,25.66,what,2.0772517,Early,1.0691666666666666
A014_3,A014,3,70.56,what,0.39994225,Late,0.3866666666666667
A014_4,A014,4,148.87,what,-0.48348227,Late,3.6495833333333336
A015_1,A015,1,1.0,what,1.7676418,Early,0.041666666666666664
A015_2,A015,2,23.69,what,1.9235327,Early,0.9870833333333334
A015_3,A015,3,70.59,what,1.7069992,Late,0.38791666666666674
A015_4,A015,4,146.54,what,0.48828286,Late,3.5524999999999998
A016_1,A016,1,1.0,what,1.0766052,Early,0.041666666666666664
A016_2,A016,2,32.85,what,-0.39004326,Early,1.3687500000000001
A016_3,A016,3,80.64,what,0.09681583,Late,0.8066666666666666
A016_4,A016,4,150.8,what,-1.1568888,Late,3.7300000000000004
A017_1,A017,1,1.0,what,-0.40713716,Early,0.041666666666666664
A017_2,A017,2,20.61,what,1.0619187,Early,0.85875
A017_3,A017,3,61.28,what,0.66992927,Late,0.0
A017_4,A017,4,140.49,what,0.20140322,Late,3.300416666666667
A018_1,A018,1,1.0,what,0.32558995,Early,0.041666666666666664
A018_2,A018,2,34.03,what,-0.36246425,Early,1.4179166666666667
A018_3,A018,3,83.64,what,-0.91410375,Late,0.9316666666666666
A018_4,A018,4,150.87,what,0.16954863,Late,3.7329166666666667
A019_1,A019,1,1.0,what,-0.015733648,Early,0.041666666666666664
A019_2,A019,2,28.69,what,-1.1935377,Early,1.1954166666666668
A019_3,A019,3,83.68,what,-0.94285613,Late,0.9333333333333336
A019_4,A019,4,154.76,what,-1.264995,Late,3.8949999999999996
A020_1,A020,1,1.0,what,-0.01839159,Early,0.041666666666666664
A020_2,A020,2,26.85,what,-0.5171829,Early,1.1187500000000001
A020_3,A020,3,78.25,what,-0.46821594,Late,0.7070833333333333
A020_4,A020,4,145.78,what,-2.2787354,Late,3.5208333333333335
A021_1,A021,1,1.0,what,1.0875474,Early,0.041666666666666664
