segment,domain,slope,se,CI_lower,CI_upper
Early,what,-0.5072052358107437,0.09503485632780602,-0.6934735542132435,-0.3209369174082439
Early,where,-0.45554479052126623,0.09503485632780329,-0.6418131089237606,-0.2692764721187718
Early,when,-0.2083757336108919,0.09503485632780351,-0.39464405201338676,-0.02210741520839704
Late,what,-0.03117049923784182,0.038232677537376594,-0.10610654721109994,0.0437655487354163
Late,where,-0.1067837264180862,0.038232677537376504,-0.18171977439134415,-0.03184767844482825
Late,when,-0.013209557325905896,0.038232677537376504,-0.08814560529916385,0.061726490647352056
