UID,Age,RAVLT_T,BVMT_T,NART_T,RPM_T,RAVLT_Pct_Ret_T,BVMT_Pct_Ret_T,theta_all
A010,22,40.98359792562148,63.40343091888381,59.455010673198146,55.86650796569172,35.78581513990689,53.648494608380034,0.97076143875
A011,21,63.377276280287084,61.42652370370921,51.287132496224174,61.0581079353304,45.22802805184364,53.648494608380034,0.07180207999999996
A012,21,42.162212575867045,55.4958020581854,50.12029275665646,61.0581079353304,53.028116979095735,53.648494608380034,0.3549183125
A013,22,49.23390047734039,47.58817319748699,44.28609405881791,50.67490799605303,40.71218709396085,53.648494608380034,-0.16506315
A014,22,64.55589093053264,63.40343091888381,51.287132496224174,45.48330802641435,58.77555092549201,53.648494608380034,0.6169010075
A015,23,45.698056526603715,55.4958020581854,57.121331194062726,61.0581079353304,77.74208294859974,53.648494608380034,1.559498015
A016,21,53.94835907832262,61.42652370370921,44.28609405881791,61.0581079353304,42.97010757290224,53.648494608380034,0.11325782150000002
A017,24,37.44775397488481,57.47270927336,19.782459527895995,50.67490799605303,58.77555092549201,53.648494608380034,0.3353329775
A018,23,62.19866163004153,59.4496164885346,46.619773537953336,55.86650796569172,50.34598113744414,16.815441360672345,-0.10452744725000002
A019,20,50.41251512758595,53.5188948430108,46.619773537953336,40.29170805677566,49.743869009726424,53.648494608380034,-1.13018943
A020,26,52.76974442807706,55.4958020581854,26.783497965302256,61.0581079353304,44.185910907716845,53.648494608380034,-0.91300866125
A021,28,63.377276280287084,59.4496164885346,,61.0581079353304,58.77555092549201,53.648494608380034,0.79059709
A022,28,49.23390047734039,47.58817319748699,29.11717744443768,45.48330802641435,46.1311962434202,53.648494608380034,0.1149351101
A023,26,58.66281767930485,41.65745155196318,55.95449145449501,35.10010808713698,63.29139188337481,53.648494608380034,0.13347564975
A024,29,50.41251512758595,49.56508041266159,41.95241457968249,61.0581079353304,54.56076603146807,44.442994051722216,-0.04513158249999999
A025,26,56.30558837881374,59.4496164885346,61.78869015233357,45.48330802641435,49.743869009726424,53.648494608380034,0.346842675
A026,29,40.98359792562148,55.4958020581854,46.619773537953336,50.67490799605303,34.45948422920006,53.648494608380034,0.406870533
A027,28,61.020046979795964,65.3803381340584,46.619773537953336,55.86650796569172,54.259709967609226,44.442994051722216,-0.05787567499999999
A028,26,51.591129777831505,61.42652370370921,52.45397223579189,45.48330802641435,48.238588690432174,44.442994051722216,0.12858346
A029,25,62.19866163004153,63.40343091888381,47.78661327752104,50.67490799605303,46.1311962434202,53.648494608380034,1.023111325
A030,31,42.162212575867045,59.4496164885346,41.95241457968249,55.86650796569172,48.238588690432174,53.648494608380034,0.435349075
A031,32,48.05528582709483,53.5188948430108,43.1192543192502,55.86650796569172,47.28068303269946,53.648494608380034,0.4143596645
A032,33,53.94835907832262,55.4958020581854,47.78661327752104,55.86650796569172,63.29139188337481,53.648494608380034,0.7238456824999999
A033,32,51.591129777831505,45.61126598231238,52.45397223579189,61.0581079353304,64.52298487188828,53.648494608380034,0.375180925
A034,33,64.55589093053264,61.42652370370921,48.953453017088755,61.0581079353304,64.04403204302193,53.648494608380034,0.609261065
A035,34,51.591129777831505,61.42652370370921,65.2892093710367,61.0581079353304,37.70162645537231,53.648494608380034,-0.20200146749999998
A036,30,46.87667117684927,49.56508041266159,62.95552989190128,61.0581079353304,58.77555092549201,53.648494608380034,-0.05789503249999997
A037,31,59.84143232955041,65.3803381340584,33.78453640270852,61.0581079353304,63.29139188337481,53.648494608380034,0.6399919475
A038,32,69.27034953151487,47.58817319748699,57.121331194062726,55.86650796569172,50.34598113744414,43.603116449914296,0.496686178
A039,31,56.30558837881374,55.4958020581854,47.78661327752104,61.0581079353304,45.22802805184364,53.648494608380034,1.19202671
A040,38,31.554680723657018,41.65745155196318,30.28401718400539,55.86650796569172,50.87282924919713,53.648494608380034,-0.9150132424999999
A041,35,33.911910024148135,57.47270927336,,50.67490799605303,42.97010757290224,53.648494608380034,0.109736675
A042,38,52.76974442807706,45.61126598231238,53.620811975359594,40.29170805677566,41.916411349396256,63.69387276684577,-0.8263051475000001
A043,38,45.698056526603715,55.4958020581854,44.28609405881791,50.67490799605303,64.52298487188828,53.648494608380034,0.4509235725
A044,38,58.66281767930485,55.4958020581854,57.121331194062726,50.67490799605303,49.743869009726424,53.648494608380034,-0.891856265
A045,37,32.73329537390258,51.54198762783619,45.45293379838562,40.29170805677566,52.4533735844561,53.648494608380034,-1.07199485
A046,38,43.3408272261126,57.47270927336,40.785574840114776,35.10010808713698,53.912337586233626,53.648494608380034,-1.212762325
A047,36,32.73329537390258,37.70363712161397,33.78453640270852,19.52530817822093,30.676984965332423,39.8347182628551,-1.026090325
A048,38,49.23390047734039,57.47270927336,52.45397223579189,61.0581079353304,46.1311962434202,53.648494608380034,0.31380509999999995
A049,35,39.804983275375925,51.54198762783619,45.45293379838562,61.0581079353304,47.28068303269946,53.648494608380034,0.4953288965
A050,41,37.44775397488481,57.47270927336,50.12029275665646,50.67490799605303,64.52298487188828,53.648494608380034,-0.79420681
A051,41,40.98359792562148,37.70363712161397,41.95241457968249,55.86650796569172,64.52298487188828,53.648494608380034,-0.03917359749999999
A052,43,56.30558837881374,55.4958020581854,46.619773537953336,55.86650796569172,44.185910907716845,53.648494608380034,0.063437571
A053,44,51.591129777831505,53.5188948430108,55.95449145449501,50.67490799605303,48.238588690432174,53.648494608380034,0.45830460749999996
A054,43,52.76974442807706,63.40343091888381,44.28609405881791,50.67490799605303,63.63876426475041,53.648494608380034,1.0196071075
A055,44,50.41251512758595,39.68054433678858,51.287132496224174,29.908508117498297,49.743869009726424,53.648494608380034,0.10256029849999998
A056,42,50.41251512758595,53.5188948430108,54.78765171492731,45.48330802641435,44.185910907716845,53.648494608380034,-0.07194886249999999
A057,40,51.591129777831505,57.47270927336,62.95552989190128,55.86650796569172,45.22802805184364,53.648494608380034,-0.51205133
A058,42,38.62636862513037,49.56508041266159,44.28609405881791,55.86650796569172,52.4533735844561,53.648494608380034,-0.252483834
A059,43,52.76974442807706,59.4496164885346,41.95241457968249,61.0581079353304,54.56076603146807,53.648494608380034,0.98987943
A060,48,50.41251512758595,55.4958020581854,46.619773537953336,40.29170805677566,63.63876426475041,53.648494608380034,0.235626169
A061,47,65.7345055807782,45.61126598231238,41.95241457968249,29.908508117498297,58.77555092549201,53.648494608380034,0.86492765
A062,48,53.94835907832262,53.5188948430108,37.28505562141165,61.0581079353304,68.5019776040088,53.648494608380034,0.09019198499999995
A063,45,59.84143232955041,49.56508041266159,52.45397223579189,55.86650796569172,63.63876426475041,53.648494608380034,0.293277165
A064,47,68.09173488126932,57.47270927336,58.28817093363044,61.0581079353304,54.56076603146807,53.648494608380034,0.30928356749999997
A065,47,55.12697372856818,33.74982269126477,,35.10010808713698,31.680505178195258,53.648494608380034,-1.9536738750000002
A066,47,44.51944187635816,33.74982269126477,52.45397223579189,50.67490799605303,53.028116979095735,53.648494608380034,-0.5499262325000001
A067,48,59.84143232955041,41.65745155196318,59.455010673198146,55.86650796569172,50.34598113744414,53.648494608380034,-0.82512955
A068,49,55.12697372856818,55.4958020581854,53.620811975359594,61.0581079353304,50.34598113744414,53.648494608380034,0.37390792500000003
A069,46,50.41251512758595,47.58817319748699,30.28401718400539,35.10010808713698,54.259709967609226,53.648494608380034,-1.1793972825
A070,52,59.84143232955041,55.4958020581854,54.78765171492731,50.67490799605303,41.916411349396256,53.648494608380034,-0.21069506424999995
A071,50,58.66281767930485,53.5188948430108,53.620811975359594,61.0581079353304,40.71218709396085,53.648494608380034,0.1962569325
A072,50,52.76974442807706,59.4496164885346,53.620811975359594,61.0581079353304,64.04403204302193,53.648494608380034,0.07787222499999996
A073,51,50.41251512758595,43.63435876713778,38.451895360979364,45.48330802641435,64.04403204302193,43.603116449914296,0.33634695950000004
A074,53,59.84143232955041,53.5188948430108,31.4508569235731,55.86650796569172,58.77555092549201,53.648494608380034,-0.2549865725
A075,53,38.62636862513037,47.58817319748699,44.28609405881791,50.67490799605303,39.322697568458445,53.648494608380034,-0.291115765
A076,54,33.911910024148135,31.772915476090166,44.28609405881791,29.908508117498297,23.65234347529252,29.093125776574908,-1.220826245
A077,52,72.80619348225154,57.47270927336,54.78765171492731,55.86650796569172,46.1311962434202,53.648494608380034,0.48626458250000004
A078,50,50.41251512758595,35.726729906439374,38.451895360979364,40.29170805677566,45.22802805184364,53.648494608380034,-0.49878498
A079,50,59.84143232955041,61.42652370370921,50.12029275665646,55.86650796569172,54.56076603146807,16.815441360672345,-0.4405461125
