UID,Age,RAVLT_T,BVMT_T,NART_T,RPM_T,RAVLT_Pct_Ret_T,BVMT_Pct_Ret_T,theta_all,Age_c,RAVLT_c,BVMT_c,NART_c,RPM_c,RAVLT_Pct_Ret_c,BVMT_Pct_Ret_c,Age_c_x_RAVLT_c,Age_c_x_BVMT_c,Age_c_x_NART_c,Age_c_x_RPM_c,Age_c_x_RAVLT_Pct_Ret_c,Age_c_x_BVMT_Pct_Ret_c
A010,22,40.98359792562148,63.40343091888381,59.45501067319815,55.86650796569172,35.78581513990689,53.648494608380034,0.97076143875,-22.57,-9.016402074378519,13.403430918883807,9.455010673198153,5.866507965691717,-14.214184860093113,3.648494608380034,203.50019481872317,-302.5154358392075,-213.3995908940823,-132.40708478566205,320.81415229230157,-82.34652331113736
A011,21,63.37727628028709,61.42652370370921,51.287132496224174,61.0581079353304,45.22802805184364,53.648494608380034,0.0718020799999999,-23.57,13.377276280287091,11.426523703709208,1.2871324962241744,11.058107935330398,-4.771971948156363,3.648494608380034,-315.30240192636677,-269.32316369642604,-30.33771293600379,-260.6396040357375,112.47537881804547,-85.9950179195174
A012,21,42.162212575867045,55.4958020581854,50.12029275665646,61.0581079353304,53.028116979095735,53.648494608380034,0.3549183125,-23.57,-7.837787424132955,5.495802058185397,0.12029275665646111,11.058107935330398,3.028116979095735,3.648494608380034,184.73664958681374,-129.53605451142982,-2.835300274392788,-260.6396040357375,-71.37271719728648,-85.9950179195174
A013,22,49.23390047734039,47.58817319748699,44.28609405881791,50.67490799605303,40.71218709396085,53.648494608380034,-0.16506315,-22.57,-0.7660995226596086,-2.411826802513012,-5.713905941182091,0.6749079960530295,-9.28781290603915,3.648494608380034,17.290866226427365,54.434930932718686,128.9628570924798,-15.232673470916877,209.6259372893036,-82.34652331113736
A014,22,64.55589093053264,63.40343091888381,51.287132496224174,45.48330802641435,58.77555092549201,53.648494608380034,0.6169010075,-22.57,14.555890930532641,13.403430918883807,1.2871324962241744,-4.516691973585651,8.775550925492013,3.648494608380034,-328.5264583021217,-302.5154358392075,-29.050580439779615,101.94173784382815,-198.06418438835473,-82.34652331113736
A015,23,45.69805652660372,55.4958020581854,57.121331194062726,61.0581079353304,77.74208294859974,53.648494608380034,1.559498015,-21.57,-4.301943473396278,5.495802058185397,7.121331194062726,11.058107935330398,27.742082948599744,3.648494608380034,92.79292072115773,-118.54445039505902,-153.60711385593302,-238.52338816507668,-598.3967292012965,-78.69802870275733
A016,21,53.94835907832262,61.42652370370921,44.28609405881791,61.0581079353304,42.97010757290224,53.648494608380034,0.1132578215,-23.57,3.9483590783226177,11.426523703709208,-5.713905941182091,11.058107935330398,-7.0298924270977565,3.648494608380034,-93.0628234760641,-269.32316369642604,134.6767630336619,-260.6396040357375,165.69456450669412,-85.9950179195174
A017,24,37.44775397488481,57.47270927336,19.782459527895995,50.67490799605303,58.77555092549201,53.648494608380034,0.3353329775,-20.57,-12.552246025115188,7.472709273360003,-30.217540472104005,0.6749079960530295,8.775550925492013,3.648494608380034,258.19970073661943,-153.71362975301525,621.5748075111794,-13.882857478810818,-180.5130825373707,-75.0495340943773
A018,23,62.19866163004153,59.4496164885346,46.619773537953336,55.86650796569172,50.34598113744414,16.815441360672345,-0.10452744725,-21.57,12.198661630041528,9.449616488534602,-3.3802264620466644,5.866507965691717,0.3459811374441415,-33.184558639327655,-263.12513135999575,-203.82822765769137,72.91148478634655,-126.54057681997034,-7.4628131346701325,715.7909298502975
A019,20,50.41251512758595,53.5188948430108,46.619773537953336,40.29170805677566,49.74386900972642,53.648494608380034,-1.13018943,-24.57,0.412515127585948,3.5188948430107985,-3.3802264620466644,-9.708291943224339,-0.2561309902735829,3.648494608380034,-10.135496684786743,-86.45924629277532,83.05216417248654,238.532733045022,6.293138431021932,-89.64351252789743
A020,26,52.76974442807706,55.4958020581854,26.783497965302256,61.0581079353304,44.185910907716845,53.648494608380034,-0.91300866125,-18.57,2.769744428077061,5.495802058185397,-23.216502034697744,11.058107935330398,-5.8140890922831545,3.648494608380034,-51.434154029391024,-102.05704422050283,431.1304427843371,-205.34906435908547,107.96763444369819,-67.75254487761723
A021,28,63.37727628028709,59.4496164885346,,61.0581079353304,58.77555092549201,53.648494608380034,0.79059709,-16.57,13.377276280287091,9.449616488534602,,11.058107935330398,8.775550925492013,3.648494608380034,-221.66146796435712,-156.58014521501835,,-183.23284848842468,-145.41087883540266,-60.45555566085716
A022,28,49.23390047734039,47.58817319748699,29.11717744443768,45.48330802641435,46.1311962434202,53.648494608380034,0.1149351101,-16.57,-0.7660995226596086,-2.411826802513012,-20.88282255556232,-4.516691973585651,-3.8688037565798012,3.648494608380034,12.694269090469714,39.96397011764061,346.02836974566765,74.84158600231424,64.1060782465273,-60.45555566085716
A023,26,58.66281767930485,41.65745155196318,55.95449145449501,35.10010808713698,63.29139188337481,53.648494608380034,0.13347564975,-18.57,8.662817679304851,-8.342548448036823,5.954491454495013,-14.89989191286302,13.291391883374807,3.648494608380034,-160.86852430469108,154.9211246800438,-110.57490630997239,276.69099282186625,-246.82114727427017,-67.75254487761723
A024,29,50.41251512758595,49.56508041266159,41.95241457968249,61.0581079353304,54.56076603146807,44.442994051722216,-0.0451315824999999,-15.57,0.412515127585948,-0.4349195873384133,-8.04758542031751,11.058107935330398,4.56076603146807,-5.557005948277784,-6.422860536513211,6.771697974859095,125.30090499434364,-172.1747405530943,-71.01112710995785,86.52258261468509
A025,26,56.30558837881374,59.4496164885346,61.78869015233357,45.48330802641435,49.74386900972642,53.648494608380034,0.346842675,-18.57,6.305588378813738,9.449616488534602,11.788690152333572,-4.516691973585651,-0.2561309902735829,3.648494608380034,-117.09477619457111,-175.47937819208755,-218.91597612883444,83.87496994948555,4.7563524893804345,-67.75254487761723
A026,29,40.98359792562148,55.4958020581854,46.619773537953336,50.67490799605303,34.45948422920006,53.648494608380034,0.406870533,-15.57,-9.016402074378519,5.495802058185397,-3.3802264620466644,0.6749079960530295,-15.540515770799942,3.648494608380034,140.38538029807353,-85.56963804594663,52.63012601406657,-10.50831749854567,241.9658305513551,-56.807061052477124
A027,28,61.02004697979597,65.3803381340584,46.619773537953336,55.86650796569172,54.259709967609226,44.442994051722216,-0.0578756749999999,-16.57,11.020046979795971,15.380338134058405,-3.3802264620466644,5.866507965691717,4.259709967609226,-5.557005948277784,-182.60217845521925,-254.85220288134778,56.01035247611323,-97.20803699151176,-70.58339416328486,92.07958856296288
A028,26,51.59112977783151,61.42652370370921,52.45397223579189,45.48330802641435,48.238588690432174,44.442994051722216,0.12858346,-18.57,1.5911297778315117,11.426523703709208,2.4539722357918876,-4.516691973585651,-1.7614113095678263,-5.557005948277784,-29.547279974331172,-212.19054517787998,-45.570264418655356,83.87496994948555,32.70940801867454,103.19360045951845
A029,25,62.19866163004153,63.40343091888381,47.78661327752104,50.67490799605303,46.1311962434202,53.648494608380034,1.023111325,-19.57,12.198661630041528,13.403430918883807,-2.2133867224789583,0.6749079960530295,-3.8688037565798012,3.648494608380034,-238.7278080999127,-262.30514308255607,43.31597815891321,-13.207949482757789,75.71248951626671,-71.40103948599726
A030,31,42.162212575867045,59.4496164885346,41.95241457968249,55.86650796569172,48.238588690432174,53.648494608380034,0.435349075,-13.57,-7.837787424132955,9.449616488534602,-8.04758542031751,5.866507965691717,-1.7614113095678263,3.648494608380034,106.3587753454842,-128.23129574941456,109.20573415370862,-79.6085130944366,23.902351470835402,-49.510071835717056
A031,32,48.05528582709483,53.5188948430108,43.1192543192502,55.86650796569172,47.28068303269946,53.648494608380034,0.4143596645,-12.57,-1.9447141729051722,3.5188948430107985,-6.880745680749797,5.866507965691717,-2.719316967300543,3.648494608380034,24.445057153418016,-44.23250817664574,86.49097320702495,-73.74200512874489,34.18181427896783,-45.86157722733702
A032,33,53.94835907832262,55.4958020581854,47.78661327752104,55.86650796569172,63.29139188337481,53.648494608380034,0.7238456824999999,-11.57,3.9483590783226177,5.495802058185397,-2.2133867224789583,5.866507965691717,13.291391883374807,3.648494608380034,-45.682514536192684,-63.58642981320505,25.608884379081548,-67.87549716305317,-153.78140409064653,-42.21308261895699
A033,32,51.59112977783151,45.61126598231238,52.45397223579189,61.0581079353304,64.52298487188828,53.648494608380034,0.375180925,-12.57,1.5911297778315117,-4.388734017687618,2.4539722357918876,11.058107935330398,14.522984871888283,3.648494608380034,-20.000501307342102,55.16638660233336,-30.846431003904026,-139.0004167471031,-182.55391983963574,-45.86157722733702
A034,33,64.55589093053264,61.42652370370921,48.95345301708876,61.0581079353304,64.04403204302193,53.648494608380034,0.609261065,-11.57,14.555890930532641,11.426523703709208,-1.046546982911238,11.058107935330398,14.044032043021929,3.648494608380034,-168.41165806626265,-132.20487925191554,12.108548592283023,-127.9423088117727,-162.48945073776372,-42.21308261895699
A035,34,51.59112977783151,61.42652370370921,65.2892093710367,61.0581079353304,37.70162645537231,53.648494608380034,-0.2020014674999999,-10.57,1.5911297778315117,11.426523703709208,15.289209371036705,11.058107935330398,-12.298373544627687,3.648494608380034,-16.81824175167908,-120.77835554820633,-161.60694305185797,-116.8842008764423,129.99380836671466,-38.564588010576955
