variable,mean,std,min,max,n_missing
Age,44.57,14.579115407342314,20.0,70.0,0
theta_all,0.006179757148499989,0.6769235234730847,-1.9536738750000002,1.559498015,0
RAVLT_T,49.99999999999999,9.999999999999998,22.125763521692555,72.80619348225154,0
BVMT_T,49.99999999999999,10.0,17.93456496986795,65.3803381340584,0
NART_T,50.0,10.0,19.782459527895995,71.12340806887525,3
RPM_T,50.0,9.999999999999998,19.52530817822093,61.0581079353304,0
RAVLT_Pct_Ret_T,50.0,9.999999999999998,23.65234347529252,77.74208294859974,0
BVMT_Pct_Ret_T,49.99999999999999,10.0,4.537756944769775,69.44040372658415,0
