fold,test_name,train_R2,test_R2,interaction_coef,interaction_p
1,RAVLT,0.11272424912512635,-0.18732713472320017,-0.0001319729256332344,0.7867929166279991
2,RAVLT,0.10276643409786967,0.027724589478208328,0.00019000025267789942,0.6828172823113434
3,RAVLT,0.14275238396597312,-0.22474037936711855,3.425153311620066e-05,0.9432387413045481
4,RAVLT,0.09097476024497875,0.0011466354574889426,-4.37351262877904e-05,0.9259731330370158
5,RAVLT,0.05350033189881176,0.2586919522394615,-9.782080557456445e-05,0.867476710038416
1,BVMT,0.1450194317809098,-0.008177896876607305,-0.00045433238353440085,0.3972142272617608
2,BVMT,0.13551573090784297,0.12367821193862238,-0.0004675566229582728,0.29052521202844045
3,BVMT,0.2288493867618311,-0.3879209973062896,-0.0007586582686777805,0.14792673376896137
4,BVMT,0.11561617173454897,0.14075927229610397,-0.0009446355478500432,0.08381341658453183
5,BVMT,0.16143098222431884,0.04238203951103081,-0.0006669638124477017,0.1787441524766506
1,NART,0.06158272634603956,-0.12103939541694086,0.00011089678350097127,0.8297872262230829
2,NART,0.09127248684189537,-0.04301549888088929,-7.650727972819288e-05,0.8783259968191287
3,NART,0.09748096583998944,-0.3429081345847347,-0.0005454394901760024,0.35165374330183585
4,NART,0.04547716635239574,-0.34957627038360495,-0.0003218114312840437,0.5227136261947138
5,NART,0.04176279537900962,0.12317201511140874,-0.0002904234799161937,0.5740996112924736
1,RPM,0.29299139044066513,-0.503408442946164,-7.103460862504016e-05,0.8861852485095179
2,RPM,0.16299365060738968,0.22323802447591767,0.00043984685745369033,0.3934200903326722
3,RPM,0.2375129232375217,0.013350895384080963,-7.331097313734375e-05,0.8852754342401041
4,RPM,0.1720994938762046,0.29848185992450205,-0.00011754518233677251,0.8300146289474886
5,RPM,0.22637689369797054,0.10673349891728956,0.00011381076218512426,0.8339643661787599
1,RAVLT_Pct_Ret,0.1735243602221369,-0.17133499003090624,-1.0000541467544927e-05,0.9833253868788767
2,RAVLT_Pct_Ret,0.10835032306259518,0.17332865051627022,6.444412819236578e-05,0.9029219041300599
3,RAVLT_Pct_Ret,0.17173188685348084,-0.05559796616883772,-0.00018855412649492842,0.7029799486111533
4,RAVLT_Pct_Ret,0.14768575291403696,0.03699189512857626,-0.00014949287511640473,0.7646476535115698
5,RAVLT_Pct_Ret,0.15956136132942456,0.031958812182731444,0.0002756572098624885,0.5644805695889445
1,BVMT_Pct_Ret,0.08464723187396694,-0.2831992165899164,0.00024031164206993002,0.6105958604123816
2,BVMT_Pct_Ret,0.07176971111136421,-0.010380666926338655,2.314668504517308e-05,0.956995206841276
3,BVMT_Pct_Ret,0.09674351500554979,-0.21634535064554505,-7.232186509613186e-05,0.9228696900288296
4,BVMT_Pct_Ret,0.06544055911426894,-0.1178961173228863,5.8757344602498846e-05,0.9093460346048227
5,BVMT_Pct_Ret,0.01600565094381745,0.16348190404867224,3.6690140777462525e-05,0.9420673339240413
