model,shapiro_p,breusch_pagan_p,max_cooks_d,n_outliers,normality_ok,homosced_ok,outliers_ok
Age x RAVLT,0.5785226046133419,0.7292376879520015,0.08455553149678095,6,True,True,False
Age x BVMT,0.3408039061608486,0.40047519334666093,0.11948639715046112,6,True,True,False
Age x NART,0.26017413189404315,0.22510134302792803,0.10626801602807741,6,True,True,False
Age x RPM,0.9626184744644027,0.22853248445774277,0.0846158491001936,6,True,True,False
Age x RAVLT_Pct_Ret,0.20803080320332612,0.3194897931339764,0.2078917781171927,6,True,True,False
Age x BVMT_Pct_Ret,0.17481313000760507,0.8986350975643117,0.08192421207548292,6,True,True,False
