model,n_obs,R2,adj_R2,F_stat,F_p,interaction_coef,interaction_se,interaction_t,interaction_p_uncorr,interaction_p_bonf,VIF_age,VIF_test,VIF_interaction,significant
Age x RAVLT,100,0.09822931808135638,0.07004898427139872,3.4857400463669026,0.018763077623691782,1.2813894394933238e-05,0.00043387937260267736,0.029533310878707045,0.9765005630388708,1.0,1.0410125703704582,1.0685831288521097,1.0407786407679236,False
Age x BVMT,100,0.15003863103950765,0.12347733825949225,5.648769895432052,0.0013150625736680088,-0.000635420247024768,0.0004476018696148332,-1.4196103505366382,0.15896026486069775,0.9537615891641865,1.460801295475146,1.6924943141892834,1.1969853550678546,False
Age x NART,97,0.061709582474373637,0.03144214965096637,2.038811247535026,0.11380817025154899,-0.00021893391029231813,0.0004615008747467214,-0.47439543947229207,0.63632995645134,1.0,1.1332582404040437,1.1129649795720078,1.0194762430077822,False
Age x RPM,100,0.21274175271466822,0.18813993248700156,8.647398881300006,3.886553253269293e-05,5.9299529987366564e-05,0.000462861901301,0.1281149513941178,0.8983260044041749,1.0,1.0942516245330476,1.102703342498844,1.0091215713289379,False
Age x RAVLT_Pct_Ret,100,0.1495150222090018,0.12293736665303312,5.625591086999562,0.0013524285868791357,8.827970525837744e-07,0.0004371629117432268,0.002019377739670415,0.9983929611606179,1.0,1.0567646647194333,1.0390652584662767,1.0250036096576025,False
Age x BVMT_Pct_Ret,100,0.06241499481655899,0.033115463404576495,2.1302386696543993,0.10143234461150413,8.893801835758076e-05,0.00044412444543932204,0.2002547242577572,0.841704983735871,1.0,1.0509286516962393,1.4725036398248008,1.4312245834430113,False
