test_name,bootstrap_coef_mean,CI_2.5,CI_97.5,n_iterations,includes_zero
RAVLT,8.851175378072352e-06,-0.000769267122054674,0.0007582586024196087,2000,True
BVMT,-0.0006179164288897447,-0.0014065423053680364,0.00023734901726110168,2000,True
NART,-0.0002567574775019338,-0.0013090613254900195,0.0005628004494481914,2000,True
RPM,6.283637710673091e-05,-0.0008213536193342181,0.0008828529639219055,2000,True
RAVLT_Pct_Ret,2.0150153964253993e-05,-0.0007788487166489402,0.0009083629558186235,2000,True
BVMT_Pct_Ret,9.102827825577896e-05,-0.0009393655128217787,0.0011147199684972114,2000,True
