composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours
A010_T1,A010,1,0.9966144,0.07339282,1.0
A010_T2,A010,2,0.15345456,0.07339282,21.9
A010_T3,A010,3,-0.33591253,0.07339282,80.88
A010_T4,A010,4,-0.29618156,0.07339282,145.31
A011_T1,A011,1,2.008585,0.07339282,1.0
A011_T2,A011,2,0.74341935,0.07339282,24.57
A011_T3,A011,3,0.42186868,0.07339282,72.55
A011_T4,A011,4,-0.1016792,0.07339282,148.85
A012_T1,A012,1,1.096769,0.07339282,1.0
A012_T2,A012,2,0.21001981,0.07339282,25.6
A012_T3,A012,3,0.28759786,0.07339282,166.33
A012_T4,A012,4,0.20642641,0.07339282,166.87
A013_T1,A013,1,0.14108829,0.07339282,1.0
A013_T2,A013,2,-0.5918755,0.07339282,24.77
A013_T3,A013,3,-0.03260356,0.07339282,79.66
A013_T4,A013,4,-0.68100774,0.07339282,147.13
A014_T1,A014,1,1.5729513,0.07339282,1.0
A014_T2,A014,2,1.2684107,0.07339282,25.66
A014_T3,A014,3,1.0899367,0.07339282,70.56
A014_T4,A014,4,0.5533023,0.07339282,148.87
A015_T1,A015,1,1.4229563,0.07339282,1.0
A015_T2,A015,2,0.4972281,0.07339282,23.69
A015_T3,A015,3,0.28848577,0.07339282,70.59
A015_T4,A015,4,0.38678306,0.07339282,146.54
A016_T1,A016,1,0.6762369,0.07339282,1.0
A016_T2,A016,2,0.21624197,0.07339282,32.85
A016_T3,A016,3,-0.04119006,0.07339282,80.64
A016_T4,A016,4,-0.40759152,0.07339282,150.8
A017_T1,A017,1,1.2367781,0.07339282,1.0
A017_T2,A017,2,2.2045667,0.07339282,20.61
A017_T3,A017,3,2.0331683,0.07339282,61.28
A017_T4,A017,4,1.1423697,0.07339282,140.49
A018_T1,A018,1,0.4011214,0.07339282,1.0
A018_T2,A018,2,-0.6122024,0.07339282,34.03
A018_T3,A018,3,-0.9603171,0.07339282,83.64
