composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours,Segment,Time_Early,Time_Late
A029_T4,A029,4,0.8559158,0.07339282,143.14,Late,0.0,95.13999999999999
A030_T1,A030,1,0.23597223,0.07339282,1.0,Early,1.0,0.0
A030_T2,A030,2,0.64555764,0.07339282,32.95,Early,32.95,0.0
A030_T3,A030,3,-0.12588719,0.07339282,71.93,Late,0.0,23.930000000000007
A030_T4,A030,4,-0.024427809,0.07339282,150.46,Late,0.0,102.46000000000001
A031_T1,A031,1,2.0878112,0.07339282,1.0,Early,1.0,0.0
A031_T2,A031,2,0.40126973,0.07339282,32.41,Early,32.41,0.0
A031_T3,A031,3,-0.27508643,0.07339282,71.56,Late,0.0,23.560000000000002
A031_T4,A031,4,-0.800131,0.07339282,143.85,Late,0.0,95.85
A032_T1,A032,1,0.3052368,0.07339282,1.0,Early,1.0,0.0
A032_T2,A032,2,-0.49530542,0.07339282,57.18,Late,0.0,9.18
A032_T3,A032,3,-0.23620081,0.07339282,80.16,Late,0.0,32.16
A032_T4,A032,4,0.30469647,0.07339282,144.51,Late,0.0,96.50999999999999
A033_T1,A033,1,0.77137077,0.07339282,1.0,Early,1.0,0.0
A033_T2,A033,2,0.4549792,0.07339282,29.16,Early,29.16,0.0
A033_T3,A033,3,0.41117167,0.07339282,72.6,Late,0.0,24.599999999999994
A033_T4,A033,4,-0.64959884,0.07339282,168.33,Late,0.0,120.33000000000001
A034_T1,A034,1,2.0106363,0.07339282,1.0,Early,1.0,0.0
A034_T2,A034,2,1.7898816,0.07339282,26.08,Early,26.08,0.0
A034_T3,A034,3,1.2632637,0.07339282,74.28,Late,0.0,26.28
A034_T4,A034,4,0.6997216,0.07339282,145.38,Late,0.0,97.38
A035_T1,A035,1,0.8264408,0.07339282,1.0,Early,1.0,0.0
A035_T2,A035,2,0.7271903,0.07339282,44.76,Early,44.76,0.0
A035_T3,A035,3,0.063205935,0.07339282,79.98,Late,0.0,31.980000000000004
A035_T4,A035,4,-0.33424705,0.07339282,152.47,Late,0.0,104.47
A036_T1,A036,1,-0.8724763,0.07339282,1.0,Early,1.0,0.0
A036_T2,A036,2,-1.4847412,0.07339282,21.63,Early,21.63,0.0
A036_T3,A036,3,-1.3907819,0.07339282,71.47,Late,0.0,23.47
A036_T4,A036,4,-1.6291748,0.07339282,143.85,Late,0.0,95.85
A037_T1,A037,1,0.981827,0.07339282,1.0,Early,1.0,0.0
A037_T2,A037,2,0.40132684,0.07339282,23.7,Early,23.7,0.0
A037_T3,A037,3,-0.5773718,0.07339282,72.08,Late,0.0,24.08
A037_T4,A037,4,-0.9496738,0.07339282,143.66,Late,0.0,95.66
A038_T1,A038,1,1.2398889,0.07339282,1.0,Early,1.0,0.0
A038_T2,A038,2,0.9916787,0.07339282,71.85,Late,0.0,23.849999999999994
A038_T3,A038,3,1.0252008,0.07339282,72.86,Late,0.0,24.86
A038_T4,A038,4,0.66296256,0.07339282,152.89,Late,0.0,104.88999999999999
A039_T1,A039,1,2.2039258,0.07339282,1.0,Early,1.0,0.0
A039_T2,A039,2,1.7605134,0.07339282,28.65,Early,28.65,0.0
A039_T3,A039,3,0.9264932,0.07339282,98.84,Late,0.0,50.84
A039_T4,A039,4,0.4581183,0.07339282,246.24,Late,0.0,198.24
A040_T1,A040,1,0.10722337,0.07339282,1.0,Early,1.0,0.0
A040_T2,A040,2,0.08675729,0.07339282,26.26,Early,26.26,0.0
A040_T3,A040,3,-1.4581342,0.07339282,71.28,Late,0.0,23.28
A040_T4,A040,4,-2.264335,0.07339282,143.53,Late,0.0,95.53
A041_T1,A041,1,1.1639924,0.07339282,1.0,Early,1.0,0.0
