composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours,Segment,Time_Early,Time_Late
A097_T2,A097,2,-0.94182014,0.07339282,24.37,Early,24.37,0.0
A097_T3,A097,3,-0.5738898,0.07339282,70.83,Late,0.0,22.83
A097_T4,A097,4,-1.1440835,0.07339282,144.85,Late,0.0,96.85
A098_T1,A098,1,0.7665425,0.07339282,1.0,Early,1.0,0.0
A098_T2,A098,2,0.114959404,0.07339282,25.77,Early,25.77,0.0
A098_T3,A098,3,0.95175016,0.07339282,78.84,Late,0.0,30.840000000000003
A098_T4,A098,4,0.45389512,0.07339282,146.29,Late,0.0,98.28999999999999
A099_T1,A099,1,1.5797538,0.07339282,1.0,Early,1.0,0.0
A099_T2,A099,2,1.2974577,0.07339282,28.75,Early,28.75,0.0
A099_T3,A099,3,0.8571293,0.07339282,78.57,Late,0.0,30.569999999999993
A099_T4,A099,4,1.3113091,0.07339282,143.51,Late,0.0,95.50999999999999
A100_T1,A100,1,0.9444509,0.07339282,1.0,Early,1.0,0.0
A100_T2,A100,2,0.846625,0.07339282,31.14,Early,31.14,0.0
A100_T3,A100,3,0.7006375,0.07339282,75.34,Late,0.0,27.340000000000003
A100_T4,A100,4,0.07112359,0.07339282,146.8,Late,0.0,98.80000000000001
A101_T1,A101,1,-0.32381263,0.07339282,1.0,Early,1.0,0.0
A101_T2,A101,2,-0.8049391,0.07339282,29.12,Early,29.12,0.0
A101_T3,A101,3,-2.0506682,0.07339282,75.21,Late,0.0,27.209999999999994
A101_T4,A101,4,-1.7474207,0.07339282,150.22,Late,0.0,102.22
A102_T1,A102,1,0.7623854,0.07339282,1.0,Early,1.0,0.0
A102_T2,A102,2,0.3141226,0.07339282,29.13,Early,29.13,0.0
A102_T3,A102,3,-0.36135077,0.07339282,75.27,Late,0.0,27.269999999999996
A102_T4,A102,4,-0.24279404,0.07339282,150.41,Late,0.0,102.41
A103_T1,A103,1,-1.8178651,0.07339282,1.0,Early,1.0,0.0
A103_T2,A103,2,-2.9925668,0.07339282,27.26,Early,27.26,0.0
A103_T3,A103,3,-2.6570177,0.07339282,80.24,Late,0.0,32.239999999999995
A103_T4,A103,4,-2.9122403,0.07339282,149.72,Late,0.0,101.72
A104_T1,A104,1,1.6208797,0.07339282,1.0,Early,1.0,0.0
A104_T2,A104,2,0.573565,0.07339282,22.6,Early,22.6,0.0
A104_T3,A104,3,-0.157371,0.07339282,72.62,Late,0.0,24.620000000000005
A104_T4,A104,4,-1.8637626,0.07339282,145.78,Late,0.0,97.78
A105_T1,A105,1,2.0030143,0.07339282,1.0,Early,1.0,0.0
A105_T2,A105,2,1.3873036,0.07339282,22.77,Early,22.77,0.0
A105_T3,A105,3,0.4621537,0.07339282,69.46,Late,0.0,21.459999999999994
A105_T4,A105,4,0.38215855,0.07339282,146.2,Late,0.0,98.19999999999999
A106_T1,A106,1,0.900686,0.07339282,1.0,Early,1.0,0.0
A106_T2,A106,2,0.14128786,0.07339282,22.64,Early,22.64,0.0
A106_T3,A106,3,0.43720695,0.07339282,66.08,Late,0.0,18.08
A106_T4,A106,4,-0.07177689,0.07339282,147.13,Late,0.0,99.13
A107_T1,A107,1,-1.6444446,0.07339282,1.0,Early,1.0,0.0
A107_T2,A107,2,-0.80871445,0.07339282,26.22,Early,26.22,0.0
A107_T3,A107,3,-1.256739,0.07339282,71.45,Late,0.0,23.450000000000003
A107_T4,A107,4,-1.820972,0.07339282,145.95,Late,0.0,97.94999999999999
A108_T1,A108,1,-0.31995967,0.07339282,1.0,Early,1.0,0.0
A108_T2,A108,2,-1.9271332,0.07339282,27.61,Early,27.61,0.0
A108_T3,A108,3,-0.52692664,0.07339282,68.96,Late,0.0,20.959999999999994
A108_T4,A108,4,-0.62428236,0.07339282,152.12,Late,0.0,104.12
A109_T1,A109,1,0.48572227,0.07339282,1.0,Early,1.0,0.0
A109_T2,A109,2,-0.036711782,0.07339282,24.65,Early,24.65,0.0
A109_T3,A109,3,0.40579683,0.07339282,71.17,Late,0.0,23.17
A109_T4,A109,4,0.20902646,0.07339282,149.87,Late,0.0,101.87
