TSVR_hours,theta_confidence,CI_lower,CI_upper,Segment,fitted
1.0,0.70927563157,0.5433143377375937,0.8752369254024062,Early,0.4165708854780749
17.03,1.1109348,0.4993940240000001,1.7224755759999997,Early,1.027685699855406
25.457605633802817,0.04532240564788732,-0.17230275218684926,0.26294756348262394,Early,0.07130711721665975
32.437,0.36173438735,0.03057458663409568,0.6928941880659043,Early,0.3834266990607549
45.703333333333326,-0.055174586666666685,-0.9099482650339327,0.7995990917005994,Early,-0.32792409576263454
53.88,-0.061775867,,,Late,0.5113245277591256
62.2575,0.80169547,-0.3051854069201091,1.9085763469201091,Late,1.1384059125621013
72.42783333333334,-0.23076964655,-0.4414255814366962,-0.020113711663303835,Late,0.11721681883986829
80.5773076923077,-0.21650460403846153,-0.5295791533059859,0.09656994522906284,Late,0.15664240581381011
93.7088888888889,-0.40107022333333336,-1.0764657803892945,0.27432533372262785,Late,-0.06512004814326751
108.895,-0.7548009149999999,-1.9219189495999998,0.41231711959999995,Late,-0.4464223739123458
137.28500000000003,-0.6708971,-3.399640656,2.057846456,Late,-0.21153418039968963
145.5389855072464,-0.48984467756521743,-0.7286669159263368,-0.25102243920409806,Late,-0.5297051556474428
152.86,-0.41280746605555557,-0.7362455489677908,-0.08936938314332038,Late,-0.5916969532431906
167.58666666666667,-0.45807963555555564,-0.8065163501294048,-0.10964292098170653,Late,-0.5867892701815776
190.925,-1.2997634850000002,-2.3688029824,-0.2307239876,Late,-1.4499399933254087
244.53,-0.76381415,,,Late,-1.898557224091387
246.24,0.4581183,,,Late,-0.061541402046161986
