TSVR_hours,probability,CI_lower,CI_upper,Segment,fitted
1.0,0.769800864839322,0.7160030652035648,0.8160262211543262,Early,0.6701809648698936
17.03,0.8688479759834672,0.7005605616175022,0.949389180403499,Early,0.8518419077952479
25.457605633802817,0.51927512668325,0.4272061282277622,0.6100534155578674,Early,0.530303990886219
32.437,0.6492335571413518,0.5130065516566115,0.764822981241227,Early,0.6575943804523438
45.703333333333326,0.47654045077822527,0.17526948986321497,0.7959088000690449,Early,0.36398099019545477
53.88,0.4737385573812018,,,Late,0.7048027805385019
62.2575,0.796487772713699,0.3729865661761621,0.9626154662986124,Late,0.8740845943584958
72.42783333333334,0.40305067263159744,0.3205367226156567,0.4914424514118847,Late,0.549710984884445
80.5773076923077,0.4089057390493324,0.28877444101415983,0.5409982563019724,Late,0.5662593403538436
93.7088888888889,0.33567645784420197,0.13798296962907278,0.6146501729296515,Late,0.47231974963450335
108.895,0.2167561383895339,0.036575833176579774,0.6685786994245051,Late,0.31868732753145934
137.28500000000003,0.24197776738728413,0.0030602662562450532,0.9707575313421375,Late,0.41095201936413556
145.5389855072464,0.3028599910643766,0.2244027253442903,0.3947855405453807,Late,0.2887303972321701
152.86,0.3312364016329623,0.22216571646736252,0.462046475074975,Late,0.26755399774542293
167.58666666666667,0.3143949920899036,0.20218545056425638,0.4534818550051969,Late,0.2691940762404127
190.925,0.09866048888547072,0.01743472835794027,0.40306937023161216,Late,0.07814672897007613
244.53,0.21416305068374952,,,Late,0.03800306700408045
246.24,0.6856191924621796,,,Late,0.4738380480437728
