predictor,delta_point,pct_ci_lower,pct_ci_upper,bca_ci_lower,bca_ci_upper,prop_positive,B
RPM_T,0.03473982786241847,-0.03247301721104034,0.10456941737382115,-0.014442162075732803,0.125781980193808,0.8478,5000
BVMT_T,-0.0284749646823923,-0.08879694824761472,0.02578053054854732,,,0.154,5000
