predictor,beta,se,ci_lower,ci_upper,sr2,p_uncorrected,p_bonferroni,p_fdr,vif
age,0.0025944361518742505,0.0024896632105582315,-0.0023509739717751284,0.007539846275523629,0.009302618210068503,0.3001337337281271,0.3001337337281271,0.6002674674562541,1.4464788897043457
sex,-0.025676978306145945,0.06755760311163457,-0.15987185773437695,0.10851790112208505,0.0012374845606867302,0.7047751456685173,0.7047751456685173,0.8307069115421459,1.062921310142791
education,-0.0040256695968514285,0.01877555009915622,-0.041320993375457554,0.03326965418175469,0.0003938141726399502,0.8307069115421459,0.8307069115421459,0.8307069115421459,1.0438304351867647
RAVLT_T,0.0010128672466149864,0.0033376715747673175,-0.0056170073184552225,0.007642741811685196,0.0007888933244946106,0.7622280717305794,1.0,0.8307069115421459,1.2230824898267314
BVMT_T,0.008577453974867037,0.00414320057243134,0.00034749501161528487,0.016807412938118788,0.03671514968580669,0.041262537160090366,0.20631268580045184,0.22069404556046815,1.8846923360204104
RPM_T,0.0063541276459943095,0.0036222077701070746,-0.0008409431171039865,0.013549198409092605,0.026361224556216256,0.08276026708517556,0.4138013354258778,0.22069404556046815,1.4405066390695003
RAVLT_Pct_Ret_T,0.006313689753618067,0.0032846670364514853,-0.00021089780746106658,0.012838277314697201,0.03165076395265898,0.057712711527147145,0.2885635576357357,0.22069404556046815,1.184544151264349
BVMT_Pct_Ret_T,0.0013420423766737051,0.003149351281996904,-0.004913757061123929,0.0075978418144713395,0.001555573998458848,0.6710172431718786,1.0,0.8307069115421459,1.0889570690846655
