predictor,beta,se,ci_lower,ci_upper,sr2,p_uncorrected,p_bonferroni,p_fdr,vif
age,0.0017563200273894096,0.004895353807278966,-0.007967698938185728,0.011480338992964545,0.0009891868684201999,0.7205960700193734,0.7205960700193734,0.8235383657364268,1.4464788897043457
sex,-0.1089783921466678,0.132836589383119,-0.37284195856818203,0.15488517427484647,0.005172310229321075,0.4141351398411668,0.4141351398411668,0.5521801864548891,1.062921310142791
education,-0.003104860371786744,0.03691782899465052,-0.07643759247749377,0.07022787173392028,5.43564452336609e-05,0.9331601369193072,0.9331601369193072,0.9331601369193072,1.0438304351867647
RAVLT_T,0.007130872009690122,0.006562768482778209,-0.005905261374239043,0.020167005393619285,0.009072987689135448,0.2800990661187246,1.0,0.4850891872718778,1.2230824898267314
BVMT_T,0.008435839723054088,0.008146657190642436,-0.007746494005318202,0.024618173451426376,0.00824018500341439,0.3031807420449236,1.0,0.4850891872718778,1.8846923360204104
RPM_T,0.020082676096308996,0.00712224389345146,0.005935213538159512,0.03423013865445848,0.06110105241863473,0.005898802902073802,0.02949401451036901,0.047190423216590414,1.4405066390695003
RAVLT_Pct_Ret_T,0.014767194354641456,0.006458547169892562,0.0019380838056318548,0.02759630490365106,0.040175890911728906,0.024547744239848672,0.12273872119924337,0.09819097695939469,1.184544151264349
BVMT_Pct_Ret_T,0.006986394187133628,0.006192479658855383,-0.0053142059364186985,0.019286994310685954,0.009781741923217235,0.26219853909659463,1.0,0.4850891872718778,1.0889570690846655
